vccint_voltage_average, vccint_current_average , vccint_power_average , vccpint_voltage_average , vccpint_current_average , vccpint_power_average , vccaux_voltage_average , vccaux_current_average , vccaux_power_average , vccpaux_voltage_average , vccpaux_current_average , vccpaux_power_average , vcc1v5_voltage_average , vcc1v5_current_average , vcc1v5_power_average  
1.002075, 0.152344, 0.152657, 1.002258, 0.277344, 0.278027, 1.802490, 0.011719, 0.021128, 1.797974, 0.082031, 0.147446, 1.507568, 0.378906, 0.571218
1.001639, 0.132812, 0.133041, 1.003418, 0.306920, 0.307953, 1.802979, 0.029018, 0.052319, 1.800380, 0.065848, 0.118556, 1.507237, 0.376116, 0.566887
1.001831, 0.149554, 0.149826, 1.003226, 0.325893, 0.326959, 1.802490, 0.013393, 0.024163, 1.799892, 0.066964, 0.120528, 1.507115, 0.375000, 0.565168
1.002407, 0.142857, 0.143198, 1.001674, 0.330357, 0.330944, 1.802595, 0.021205, 0.038223, 1.799508, 0.075893, 0.136582, 1.506958, 0.385045, 0.580243
1.001936, 0.136161, 0.136444, 1.003191, 0.328125, 0.329199, 1.803711, 0.029018, 0.052342, 1.799055, 0.080357, 0.144580, 1.506662, 0.383929, 0.578462
1.001674, 0.150670, 0.150919, 1.003366, 0.310268, 0.311284, 1.801880, 0.024554, 0.044229, 1.798601, 0.061384, 0.110418, 1.507342, 0.380580, 0.573661
1.002476, 0.145089, 0.145447, 1.003296, 0.316964, 0.318038, 1.802926, 0.022321, 0.040237, 1.800066, 0.075893, 0.136606, 1.506818, 0.377232, 0.568414
1.001447, 0.154018, 0.154230, 1.003523, 0.325893, 0.327062, 1.802194, 0.024554, 0.044270, 1.799055, 0.060268, 0.108409, 1.506766, 0.383929, 0.578499
1.001343, 0.125000, 0.125172, 1.003836, 0.303571, 0.304713, 1.802752, 0.040179, 0.072408, 1.799648, 0.064732, 0.116528, 1.507202, 0.379464, 0.571919
1.001221, 0.152902, 0.153097, 1.002912, 0.318080, 0.319032, 1.802194, 0.026786, 0.048258, 1.799508, 0.085938, 0.154677, 1.507342, 0.378348, 0.570295
1.002180, 0.131696, 0.131985, 1.002755, 0.323661, 0.324521, 1.804496, 0.013393, 0.024155, 1.800310, 0.060268, 0.108509, 1.507551, 0.386161, 0.582152
1.001971, 0.141741, 0.142021, 1.003976, 0.302455, 0.303667, 1.803606, 0.026786, 0.048277, 1.800066, 0.084821, 0.152687, 1.506574, 0.382812, 0.576736
1.001639, 0.155134, 0.155382, 1.002040, 0.316964, 0.317635, 1.801810, 0.030134, 0.054281, 1.800223, 0.071429, 0.128594, 1.507568, 0.388393, 0.585527
1.001692, 0.140625, 0.140853, 1.003069, 0.320312, 0.321320, 1.802891, 0.025670, 0.046278, 1.800607, 0.074777, 0.134636, 1.506662, 0.369420, 0.556592
1.001465, 0.155134, 0.155360, 1.003470, 0.328125, 0.329282, 1.804060, 0.022321, 0.040288, 1.800432, 0.060268, 0.108512, 1.507098, 0.388393, 0.585343
1.001290, 0.151786, 0.151986, 1.003488, 0.300223, 0.301258, 1.803205, 0.035714, 0.064372, 1.800380, 0.065848, 0.118565, 1.506609, 0.386161, 0.581790
1.001622, 0.158482, 0.158720, 1.003453, 0.310268, 0.311321, 1.801967, 0.024554, 0.044213, 1.798427, 0.058036, 0.104382, 1.506487, 0.370536, 0.558207
1.002284, 0.155134, 0.155494, 1.003836, 0.293527, 0.294636, 1.801322, 0.025670, 0.046243, 1.799630, 0.081473, 0.146627, 1.506784, 0.380580, 0.573453
1.001343, 0.151786, 0.152002, 1.003993, 0.315848, 0.317101, 1.801915, 0.022321, 0.040189, 1.800223, 0.064732, 0.116530, 1.507045, 0.381696, 0.575230
1.001901, 0.147321, 0.147599, 1.002965, 0.303571, 0.304464, 1.802891, 0.030134, 0.054333, 1.799264, 0.070312, 0.126535, 1.507185, 0.379464, 0.571921
1.001535, 0.136161, 0.136352, 1.002459, 0.318080, 0.318874, 1.802211, 0.034598, 0.062319, 1.799003, 0.072545, 0.130510, 1.507429, 0.392857, 0.592197
1.001883, 0.131696, 0.131954, 1.003296, 0.329241, 0.330344, 1.803013, 0.032366, 0.058346, 1.800066, 0.063616, 0.114490, 1.507307, 0.370536, 0.558517
1.002215, 0.149554, 0.149888, 1.003331, 0.314732, 0.315795, 1.802682, 0.025670, 0.046250, 1.799316, 0.075893, 0.136561, 1.507254, 0.386161, 0.582044
1.001936, 0.131696, 0.131939, 1.003156, 0.302455, 0.303433, 1.802665, 0.035714, 0.064354, 1.800711, 0.063616, 0.114558, 1.506191, 0.371652, 0.559783
1.001168, 0.154018, 0.154201, 1.003453, 0.313616, 0.314691, 1.802386, 0.027902, 0.050259, 1.799543, 0.069196, 0.124524, 1.506295, 0.377232, 0.568223
1.001883, 0.150670, 0.150918, 1.002284, 0.314732, 0.315480, 1.801932, 0.033482, 0.060322, 1.799735, 0.071429, 0.128531, 1.506766, 0.372768, 0.561677
1.001657, 0.143973, 0.144194, 1.003034, 0.315848, 0.316781, 1.803397, 0.018973, 0.034203, 1.797049, 0.063616, 0.114322, 1.507167, 0.377232, 0.568551
1.001657, 0.157366, 0.157610, 1.003505, 0.315848, 0.316932, 1.803798, 0.030134, 0.054364, 1.801147, 0.075893, 0.136685, 1.507254, 0.371652, 0.560175
1.001831, 0.143973, 0.144259, 1.002023, 0.310268, 0.310884, 1.803589, 0.021205, 0.038236, 1.799979, 0.081473, 0.146614, 1.506766, 0.383929, 0.578483
1.001203, 0.157366, 0.157507, 1.003331, 0.324777, 0.325871, 1.803693, 0.035714, 0.064399, 1.799613, 0.070312, 0.126520, 1.506958, 0.377232, 0.568464
1.001290, 0.149554, 0.149712, 1.003784, 0.314732, 0.315892, 1.803118, 0.021205, 0.038250, 1.801008, 0.060268, 0.108561, 1.507185, 0.381696, 0.575281
1.001901, 0.168527, 0.168866, 1.003871, 0.318080, 0.319287, 1.802699, 0.022321, 0.040255, 1.798741, 0.070312, 0.126500, 1.507673, 0.383929, 0.578844
1.001779, 0.143973, 0.144205, 1.003366, 0.325893, 0.327008, 1.803973, 0.035714, 0.064404, 1.799438, 0.078125, 0.140572, 1.506644, 0.376116, 0.566675
1.001848, 0.150670, 0.150934, 1.003540, 0.306920, 0.307972, 1.802979, 0.022321, 0.040252, 1.800624, 0.053571, 0.096416, 1.507202, 0.386161, 0.582025
1.001988, 0.141741, 0.142018, 1.002947, 0.313616, 0.314555, 1.802298, 0.039062, 0.070396, 1.800310, 0.072545, 0.130629, 1.506400, 0.375000, 0.564910
1.001360, 0.159598, 0.159796, 1.003627, 0.324777, 0.325973, 1.802874, 0.013393, 0.024148, 1.799090, 0.062500, 0.112461, 1.507115, 0.377232, 0.568537
1.001814, 0.136161, 0.136416, 1.002703, 0.333705, 0.334590, 1.803903, 0.022321, 0.040271, 1.799334, 0.074777, 0.134565, 1.506853, 0.377232, 0.568433
1.002354, 0.146205, 0.146535, 1.003261, 0.332589, 0.333681, 1.802612, 0.024554, 0.044269, 1.799421, 0.074777, 0.134575, 1.507307, 0.377232, 0.568598
1.002441, 0.141741, 0.142093, 1.003383, 0.322545, 0.323656, 1.802019, 0.022321, 0.040193, 1.799107, 0.066964, 0.120483, 1.506609, 0.381696, 0.575063
1.001692, 0.152902, 0.153134, 1.003645, 0.333705, 0.334896, 1.803537, 0.027902, 0.050305, 1.800589, 0.073661, 0.132630, 1.507028, 0.378348, 0.570183
1.001430, 0.138393, 0.138580, 1.002912, 0.324777, 0.325680, 1.803868, 0.027902, 0.050310, 1.799526, 0.068080, 0.122529, 1.507307, 0.381696, 0.575331
1.001674, 0.138393, 0.138632, 1.004290, 0.321429, 0.322811, 1.802961, 0.034598, 0.062373, 1.799805, 0.080357, 0.144623, 1.506644, 0.383929, 0.578437
1.000977, 0.148438, 0.148583, 1.003749, 0.321429, 0.322627, 1.800903, 0.015625, 0.028164, 1.799665, 0.071429, 0.128556, 1.506941, 0.385045, 0.580246
1.001238, 0.150670, 0.150865, 1.002720, 0.303571, 0.304402, 1.802612, 0.017857, 0.032211, 1.799299, 0.085938, 0.154597, 1.507150, 0.379464, 0.571923
1.002023, 0.139509, 0.139797, 1.003156, 0.321429, 0.322427, 1.804478, 0.015625, 0.028200, 1.800572, 0.059152, 0.106528, 1.507132, 0.383929, 0.578639
1.000820, 0.151786, 0.151883, 1.004482, 0.309152, 0.310519, 1.802891, 0.011161, 0.020134, 1.799822, 0.073661, 0.132620, 1.506975, 0.376116, 0.566802
1.002372, 0.149554, 0.149911, 1.003366, 0.297991, 0.298986, 1.803292, 0.035714, 0.064381, 1.799159, 0.051339, 0.092352, 1.507621, 0.371652, 0.560314
1.001360, 0.135045, 0.135216, 1.004220, 0.302455, 0.303748, 1.802979, 0.036830, 0.066400, 1.801043, 0.065848, 0.118589, 1.506679, 0.380580, 0.573395
1.002145, 0.157366, 0.157689, 1.002773, 0.320312, 0.321174, 1.802699, 0.024554, 0.044278, 1.800049, 0.070312, 0.126607, 1.506679, 0.379464, 0.571739
1.001709, 0.139509, 0.139760, 1.002581, 0.320312, 0.321150, 1.801496, 0.023438, 0.042209, 1.798601, 0.074777, 0.134486, 1.506975, 0.382812, 0.576896
1.001674, 0.152902, 0.153150, 1.003453, 0.327009, 0.328167, 1.802787, 0.031250, 0.056322, 1.798601, 0.064732, 0.116426, 1.507045, 0.379464, 0.571877
1.001971, 0.138393, 0.138664, 1.003732, 0.331473, 0.332680, 1.802403, 0.018973, 0.034165, 1.799247, 0.068080, 0.122489, 1.507098, 0.375000, 0.565152
1.001151, 0.155134, 0.155310, 1.002895, 0.308036, 0.308893, 1.803292, 0.020089, 0.036224, 1.798915, 0.085938, 0.154586, 1.507167, 0.378348, 0.570239
1.001883, 0.141741, 0.142020, 1.002703, 0.321429, 0.322305, 1.801531, 0.041295, 0.074414, 1.800345, 0.064732, 0.116517, 1.507098, 0.371652, 0.560113
1.001901, 0.158482, 0.158797, 1.002877, 0.309152, 0.310036, 1.804426, 0.016741, 0.030187, 1.798828, 0.059152, 0.106400, 1.506871, 0.378348, 0.570120
1.002250, 0.159598, 0.159948, 1.003034, 0.337054, 0.338073, 1.802752, 0.035714, 0.064371, 1.799805, 0.079241, 0.142605, 1.506574, 0.376116, 0.566636
1.001866, 0.146205, 0.146479, 1.003296, 0.325893, 0.326984, 1.802996, 0.032366, 0.058381, 1.800520, 0.066964, 0.120563, 1.506452, 0.372768, 0.561561
