frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
8, 125.000000, 1.000000, 64.045200, 1.197319, 0.416777, 0.031918, 0.146600, 1.119615, 
9, 111.111111, 1.000000, 72.046500, 1.069619, 0.411223, 0.036453, 0.144230, 1.068833, 
10, 100.000000, 1.000000, 80.047500, 0.975161, 0.406458, 0.036582, 0.142243, 1.027584, 
11, 90.909091, 1.000000, 88.048400, 0.890011, 0.400704, 0.034038, 0.136566, 0.978191, 
12, 83.333333, 1.000000, 96.049100, 0.820030, 0.396910, 0.033695, 0.136396, 0.947283, 
13, 76.923077, 1.000000, 104.048600, 0.766576, 0.396732, 0.032427, 0.138804, 0.916142, 
14, 71.428571, 1.000000, 112.049200, 0.716746, 0.393036, 0.034389, 0.137959, 0.883181, 
15, 66.666667, 1.000000, 120.053500, 0.678199, 0.389837, 0.033524, 0.136713, 0.865325, 
16, 62.500000, 1.000000, 128.048800, 0.640141, 0.386621, 0.032215, 0.137238, 0.840518, 
17, 58.823529, 1.000000, 136.050600, 0.604616, 0.384178, 0.032985, 0.139738, 0.825876, 
18, 55.555556, 1.000000, 144.050500, 0.573899, 0.383542, 0.033000, 0.131820, 0.813070, 
19, 52.631579, 1.000000, 152.053200, 0.553165, 0.377792, 0.034012, 0.129640, 0.801764, 
20, 50.000000, 1.000000, 160.050800, 0.529102, 0.378064, 0.032385, 0.134154, 0.788443, 
21, 47.619048, 1.000000, 168.052800, 0.504667, 0.380098, 0.029657, 0.128937, 0.778998, 
22, 45.454545, 1.000000, 176.052300, 0.485422, 0.378749, 0.030853, 0.129734, 0.762278, 
23, 43.478261, 1.000000, 184.053100, 0.471108, 0.375904, 0.031112, 0.129946, 0.748938, 
24, 41.666667, 1.000000, 192.052900, 0.452704, 0.373442, 0.032444, 0.127751, 0.740869, 
25, 40.000000, 1.000000, 200.052100, 0.434835, 0.371287, 0.031852, 0.127271, 0.732247, 
26, 38.461538, 1.000000, 208.054000, 0.418786, 0.369660, 0.033147, 0.128823, 0.724347, 
27, 37.037037, 1.000000, 216.054100, 0.408046, 0.369505, 0.037370, 0.129444, 0.714996, 
28, 35.714286, 1.000000, 224.054600, 0.395138, 0.371648, 0.032916, 0.130412, 0.708022, 
29, 34.482759, 1.000000, 232.054700, 0.388556, 0.373981, 0.035349, 0.128034, 0.707420, 
30, 33.333333, 1.000000, 240.056400, 0.376697, 0.371404, 0.030653, 0.129106, 0.701327, 
31, 32.258065, 1.000000, 248.055200, 0.368604, 0.368335, 0.033380, 0.131384, 0.698365, 
32, 31.250000, 1.000000, 256.055500, 0.359110, 0.370995, 0.032616, 0.128827, 0.691656, 
33, 30.303030, 1.000000, 264.057100, 0.351950, 0.369500, 0.035080, 0.130686, 0.690040, 
34, 29.411765, 1.000000, 272.058100, 0.342292, 0.368138, 0.034871, 0.123693, 0.686912, 
35, 28.571429, 1.000000, 280.059600, 0.333447, 0.366626, 0.029634, 0.125674, 0.682717, 
36, 27.777778, 1.000000, 288.058600, 0.326341, 0.361439, 0.030841, 0.124260, 0.680261, 
37, 27.027027, 1.000000, 296.057900, 0.318908, 0.364087, 0.033460, 0.128403, 0.674962, 
38, 26.315789, 1.000000, 304.059500, 0.310768, 0.363326, 0.031007, 0.129258, 0.671940, 
39, 25.641026, 1.000000, 312.060700, 0.303461, 0.363513, 0.035635, 0.128783, 0.670154, 
40, 25.000000, 1.000000, 320.059000, 0.295098, 0.363290, 0.034249, 0.127477, 0.664876, 
41, 24.390244, 1.000000, 328.061000, 0.288651, 0.364121, 0.034531, 0.127247, 0.660689, 
42, 23.809524, 1.000000, 336.061700, 0.278438, 0.364325, 0.035966, 0.123459, 0.656012, 
43, 23.255814, 1.000000, 344.061900, 0.272923, 0.363697, 0.028140, 0.126641, 0.658691, 
44, 22.727273, 1.000000, 352.062200, 0.267802, 0.363070, 0.031676, 0.126786, 0.652572, 
45, 22.222222, 1.000000, 360.063000, 0.263964, 0.361181, 0.029876, 0.126380, 0.648514, 
46, 21.739130, 1.000000, 368.061500, 0.258071, 0.360414, 0.034186, 0.126039, 0.647090, 
47, 21.276596, 1.000000, 376.063400, 0.252210, 0.363084, 0.030935, 0.126033, 0.643301, 
48, 20.833333, 1.000000, 384.064000, 0.248832, 0.361402, 0.030666, 0.124105, 0.644816, 
49, 20.408163, 1.000000, 392.063800, 0.245649, 0.361724, 0.034695, 0.124601, 0.641955, 
8, 125.000000, 0.990000, 64.046700, 1.169507, 0.417005, 0.030289, 0.144698, 1.120132, 
9, 111.111111, 0.990000, 72.046200, 1.044349, 0.407199, 0.035001, 0.144943, 1.069735, 
10, 100.000000, 0.990000, 80.049400, 0.956266, 0.406182, 0.036218, 0.142328, 1.021639, 
11, 90.909091, 0.990000, 88.049200, 0.873022, 0.398563, 0.034475, 0.142056, 0.976600, 
12, 83.333333, 0.990000, 96.048300, 0.801313, 0.397665, 0.032053, 0.136990, 0.943916, 
13, 76.923077, 0.990000, 104.049000, 0.747398, 0.394768, 0.031410, 0.133708, 0.916222, 
14, 71.428571, 0.990000, 112.049300, 0.704083, 0.390610, 0.035177, 0.136894, 0.883164, 
15, 66.666667, 0.990000, 120.050200, 0.665084, 0.389439, 0.033604, 0.135752, 0.863304, 
16, 62.500000, 0.990000, 128.051500, 0.624098, 0.386219, 0.032674, 0.133385, 0.844005, 
17, 58.823529, 0.990000, 136.051700, 0.588469, 0.383477, 0.034681, 0.132801, 0.826815, 
18, 55.555556, 0.990000, 144.049800, 0.560392, 0.381202, 0.031478, 0.128115, 0.810936, 
19, 52.631579, 0.990000, 152.051600, 0.540154, 0.382786, 0.035067, 0.133512, 0.801455, 
20, 50.000000, 0.990000, 160.051200, 0.514012, 0.376396, 0.032608, 0.130774, 0.784810, 
21, 47.619048, 0.990000, 168.051400, 0.492515, 0.380301, 0.037250, 0.131653, 0.773069, 
22, 45.454545, 0.990000, 176.053400, 0.472796, 0.376812, 0.035000, 0.129221, 0.762812, 
23, 43.478261, 0.990000, 184.052600, 0.458427, 0.377894, 0.031595, 0.133181, 0.753472, 
24, 41.666667, 0.990000, 192.053300, 0.437027, 0.376030, 0.033844, 0.130413, 0.742478, 
25, 40.000000, 0.990000, 200.053300, 0.422364, 0.370840, 0.037599, 0.127650, 0.731129, 
26, 38.461538, 0.990000, 208.053900, 0.407696, 0.372336, 0.032910, 0.130050, 0.724344, 
27, 37.037037, 0.990000, 216.055700, 0.395874, 0.371826, 0.032382, 0.125195, 0.716812, 
28, 35.714286, 0.990000, 224.057800, 0.388914, 0.373160, 0.031054, 0.122816, 0.710984, 
29, 34.482759, 0.990000, 232.055500, 0.381863, 0.369732, 0.030423, 0.128615, 0.704484, 
30, 33.333333, 0.990000, 240.056000, 0.370963, 0.369721, 0.033603, 0.124013, 0.704131, 
31, 32.258065, 0.990000, 248.057800, 0.358310, 0.366256, 0.035541, 0.126201, 0.698039, 
32, 31.250000, 0.990000, 256.056900, 0.350837, 0.367320, 0.031370, 0.130460, 0.694872, 
33, 30.303030, 0.990000, 264.055600, 0.341349, 0.365910, 0.030963, 0.130847, 0.688829, 
34, 29.411765, 0.990000, 272.057200, 0.331068, 0.366806, 0.031174, 0.127061, 0.685923, 
35, 28.571429, 0.990000, 280.057800, 0.323845, 0.368290, 0.033891, 0.125917, 0.685558, 
36, 27.777778, 0.990000, 288.058600, 0.315784, 0.365915, 0.034057, 0.129401, 0.683469, 
37, 27.027027, 0.990000, 296.064200, 0.309483, 0.363043, 0.034406, 0.131038, 0.674799, 
38, 26.315789, 0.990000, 304.060000, 0.301221, 0.366083, 0.030647, 0.129720, 0.674726, 
39, 25.641026, 0.990000, 312.061400, 0.294210, 0.366021, 0.031780, 0.130525, 0.669952, 
40, 25.000000, 0.990000, 320.060300, 0.286348, 0.364875, 0.029141, 0.130599, 0.663185, 
41, 24.390244, 0.990000, 328.060500, 0.278761, 0.360895, 0.032396, 0.128100, 0.661057, 
42, 23.809524, 0.990000, 336.061000, 0.273084, 0.360293, 0.034403, 0.127020, 0.661616, 
43, 23.255814, 0.990000, 344.062300, 0.265960, 0.366035, 0.030082, 0.124499, 0.656637, 
44, 22.727273, 0.990000, 352.061300, 0.260433, 0.365652, 0.033936, 0.126916, 0.653211, 
45, 22.222222, 0.990000, 360.062200, 0.255273, 0.362173, 0.026939, 0.120735, 0.651110, 
46, 21.739130, 0.990000, 368.064700, 0.252728, 0.361340, 0.032435, 0.123380, 0.648876, 
47, 21.276596, 0.990000, 376.063900, 0.245185, 0.359185, 0.033547, 0.124956, 0.645681, 
48, 20.833333, 0.990000, 384.063200, 0.243050, 0.360331, 0.032366, 0.128608, 0.644660, 
49, 20.408163, 0.990000, 392.063500, 0.239964, 0.360925, 0.029967, 0.124598, 0.642396, 
8, 125.000000, 0.980000, 64.047400, 1.130118, 0.412544, 0.038631, 0.144830, 1.119481, 
9, 111.111111, 0.980000, 72.046400, 1.018332, 0.410152, 0.037984, 0.144386, 1.070394, 
10, 100.000000, 0.980000, 80.048100, 0.928546, 0.403064, 0.035692, 0.138554, 1.023396, 
11, 90.909091, 0.980000, 88.048000, 0.850924, 0.403071, 0.032799, 0.140292, 0.975570, 
12, 83.333333, 0.980000, 96.048800, 0.782546, 0.397304, 0.035859, 0.138087, 0.943879, 
13, 76.923077, 0.980000, 104.049400, 0.726875, 0.393565, 0.032999, 0.134150, 0.917070, 
14, 71.428571, 0.980000, 112.051200, 0.682539, 0.392073, 0.034475, 0.133914, 0.884293, 
15, 66.666667, 0.980000, 120.049700, 0.643899, 0.392631, 0.034981, 0.132125, 0.863142, 
16, 62.500000, 0.980000, 128.050400, 0.605565, 0.385050, 0.033879, 0.134580, 0.842103, 
17, 58.823529, 0.980000, 136.051000, 0.571671, 0.383835, 0.034694, 0.129904, 0.827016, 
18, 55.555556, 0.980000, 144.051500, 0.548247, 0.382319, 0.035826, 0.134708, 0.808766, 
19, 52.631579, 0.980000, 152.051200, 0.523375, 0.377877, 0.033397, 0.132637, 0.801673, 
20, 50.000000, 0.980000, 160.051400, 0.496583, 0.376457, 0.033539, 0.130613, 0.786610, 
21, 47.619048, 0.980000, 168.052900, 0.479435, 0.374916, 0.031081, 0.129486, 0.774524, 
