frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
7, 142.857143, 1.000000, 14.423300, 0.298001, 0.401102, 0.048091, 0.212659, 1.298703, 
8, 125.000000, 1.000000, 16.439300, 0.267240, 0.390318, 0.051075, 0.207148, 1.209521, 
9, 111.111111, 1.000000, 18.418600, 0.241273, 0.384227, 0.050442, 0.204932, 1.143288, 
10, 100.000000, 1.000000, 20.408400, 0.221615, 0.381541, 0.049289, 0.203243, 1.091887, 
11, 90.909091, 1.000000, 22.420300, 0.207687, 0.374765, 0.049190, 0.197805, 1.044517, 
12, 83.333333, 1.000000, 24.425000, 0.198186, 0.367031, 0.050705, 0.193576, 1.001838, 
13, 76.923077, 1.000000, 26.406300, 0.185437, 0.364461, 0.049428, 0.192578, 0.971874, 
14, 71.428571, 1.000000, 28.425600, 0.174304, 0.360163, 0.048832, 0.189115, 0.935903, 
15, 66.666667, 1.000000, 30.410500, 0.164379, 0.355270, 0.053387, 0.186879, 0.911389, 
16, 62.500000, 1.000000, 32.395500, 0.155504, 0.352434, 0.047924, 0.185394, 0.897005, 
17, 58.823529, 1.000000, 34.411300, 0.151567, 0.354185, 0.049963, 0.181404, 0.875734, 
18, 55.555556, 1.000000, 36.400300, 0.149040, 0.348328, 0.049517, 0.181380, 0.856463, 
19, 52.631579, 1.000000, 38.388800, 0.142863, 0.347126, 0.048549, 0.181345, 0.839455, 
20, 50.000000, 1.000000, 40.406700, 0.139839, 0.344526, 0.050669, 0.175492, 0.820922, 
21, 47.619048, 1.000000, 42.398100, 0.139013, 0.343161, 0.048599, 0.175826, 0.805655, 
22, 45.454545, 1.000000, 44.405300, 0.134308, 0.340095, 0.049078, 0.174745, 0.792971, 
23, 43.478261, 1.000000, 46.483500, 0.134857, 0.340793, 0.047451, 0.171069, 0.771676, 
24, 41.666667, 1.000000, 48.419900, 0.128833, 0.335115, 0.052208, 0.172985, 0.770974, 
25, 40.000000, 1.000000, 50.398800, 0.127944, 0.338601, 0.047309, 0.170132, 0.764245, 
26, 38.461538, 1.000000, 52.397700, 0.125656, 0.336377, 0.051061, 0.170983, 0.757355, 
27, 37.037037, 1.000000, 54.405500, 0.123629, 0.338176, 0.046326, 0.170478, 0.749368, 
28, 35.714286, 1.000000, 56.439900, 0.122012, 0.335792, 0.047871, 0.171046, 0.734301, 
29, 34.482759, 1.000000, 58.394100, 0.118743, 0.334545, 0.050318, 0.170263, 0.733772, 
30, 33.333333, 1.000000, 60.422600, 0.116095, 0.328891, 0.048750, 0.167177, 0.723000, 
31, 32.258065, 1.000000, 62.401900, 0.114791, 0.331705, 0.050384, 0.168543, 0.716824, 
32, 31.250000, 1.000000, 64.384400, 0.113220, 0.332776, 0.049129, 0.170757, 0.711999, 
33, 30.303030, 1.000000, 66.388700, 0.109984, 0.327801, 0.048689, 0.164820, 0.705924, 
34, 29.411765, 1.000000, 68.420200, 0.108841, 0.331313, 0.049534, 0.164014, 0.697558, 
35, 28.571429, 1.000000, 70.417300, 0.107430, 0.324843, 0.051896, 0.163274, 0.694168, 
36, 27.777778, 1.000000, 72.444000, 0.106408, 0.327047, 0.050217, 0.166757, 0.687432, 
37, 27.027027, 1.000000, 74.411700, 0.102977, 0.324986, 0.049124, 0.165449, 0.681949, 
38, 26.315789, 1.000000, 76.384500, 0.103018, 0.326704, 0.050466, 0.164119, 0.677443, 
39, 25.641026, 1.000000, 78.422400, 0.101991, 0.325604, 0.047069, 0.163924, 0.675237, 
40, 25.000000, 1.000000, 80.433600, 0.099408, 0.325921, 0.048161, 0.164386, 0.669707, 
41, 24.390244, 1.000000, 82.398700, 0.098439, 0.326559, 0.048649, 0.159819, 0.664230, 
42, 23.809524, 1.000000, 84.382800, 0.095972, 0.323260, 0.049436, 0.164724, 0.664367, 
43, 23.255814, 1.000000, 86.374400, 0.096946, 0.322072, 0.050319, 0.159812, 0.661732, 
44, 22.727273, 1.000000, 88.371700, 0.094202, 0.325087, 0.048972, 0.161762, 0.658643, 
45, 22.222222, 1.000000, 90.380000, 0.093148, 0.323086, 0.048625, 0.158606, 0.658584, 
46, 21.739130, 1.000000, 92.501500, 0.093420, 0.324797, 0.048945, 0.163936, 0.653748, 
47, 21.276596, 1.000000, 94.388500, 0.090431, 0.324220, 0.050670, 0.163388, 0.654048, 
48, 20.833333, 1.000000, 96.417800, 0.090233, 0.322379, 0.050661, 0.161234, 0.649034, 
49, 20.408163, 1.000000, 98.406200, 0.089644, 0.324070, 0.046372, 0.157300, 0.648118, 
7, 142.857143, 0.990000, 14.420800, 0.293940, 0.403529, 0.048273, 0.217431, 1.297011, 
8, 125.000000, 0.990000, 16.431400, 0.263817, 0.394870, 0.047754, 0.209754, 1.212397, 
9, 111.111111, 0.990000, 18.422400, 0.231984, 0.387582, 0.049031, 0.203579, 1.143786, 
10, 100.000000, 0.990000, 20.408800, 0.216959, 0.376442, 0.049238, 0.204153, 1.091944, 
11, 90.909091, 0.990000, 22.419700, 0.203374, 0.375877, 0.047773, 0.196514, 1.043842, 
12, 83.333333, 0.990000, 24.426100, 0.193356, 0.370822, 0.050414, 0.191862, 1.004661, 
13, 76.923077, 0.990000, 26.402000, 0.181563, 0.366775, 0.047981, 0.191508, 0.973379, 
14, 71.428571, 0.990000, 28.424600, 0.170208, 0.361222, 0.048981, 0.187093, 0.937786, 
15, 66.666667, 0.990000, 30.408300, 0.161059, 0.356667, 0.050447, 0.186467, 0.910864, 
16, 62.500000, 0.990000, 32.397500, 0.153994, 0.355469, 0.049360, 0.183287, 0.895996, 
17, 58.823529, 0.990000, 34.408100, 0.148571, 0.352803, 0.049270, 0.182763, 0.873912, 
18, 55.555556, 0.990000, 36.403700, 0.143883, 0.348102, 0.047701, 0.182200, 0.855148, 
19, 52.631579, 0.990000, 38.393800, 0.140023, 0.345219, 0.048408, 0.176645, 0.838531, 
20, 50.000000, 0.990000, 40.406400, 0.137782, 0.347767, 0.047424, 0.177080, 0.823093, 
21, 47.619048, 0.990000, 42.393000, 0.135719, 0.340675, 0.047363, 0.176065, 0.805674, 
22, 45.454545, 0.990000, 44.408600, 0.133008, 0.341860, 0.048400, 0.175446, 0.792695, 
23, 43.478261, 0.990000, 46.482100, 0.128782, 0.340423, 0.048975, 0.169313, 0.770924, 
24, 41.666667, 0.990000, 48.419400, 0.128378, 0.337303, 0.049400, 0.170725, 0.771943, 
25, 40.000000, 0.990000, 50.399100, 0.124023, 0.337210, 0.047998, 0.171813, 0.765112, 
26, 38.461538, 0.990000, 52.397800, 0.122044, 0.337193, 0.046539, 0.170400, 0.757813, 
27, 37.037037, 0.990000, 54.409400, 0.118786, 0.334966, 0.048731, 0.170613, 0.746008, 
28, 35.714286, 0.990000, 56.440600, 0.118760, 0.332195, 0.049512, 0.168616, 0.736423, 
29, 34.482759, 0.990000, 58.395200, 0.117304, 0.334317, 0.049275, 0.164816, 0.730864, 
