frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
12, 83.333333, 1.000000, 4.932400, 0.775366, 0.322833, 0.053920, 0.128439, 0.588383, 
13, 76.923077, 1.000000, 5.335800, 0.717210, 0.324229, 0.052050, 0.128125, 0.584393, 
14, 71.428571, 1.000000, 5.744200, 0.681224, 0.325311, 0.051704, 0.130247, 0.586327, 
15, 66.666667, 1.000000, 6.156100, 0.629105, 0.323615, 0.053856, 0.133425, 0.583380, 
16, 62.500000, 1.000000, 6.564100, 0.595968, 0.325705, 0.051270, 0.132725, 0.582419, 
17, 58.823529, 1.000000, 6.972800, 0.562814, 0.323518, 0.053222, 0.130674, 0.579387, 
18, 55.555556, 1.000000, 7.380200, 0.538430, 0.326726, 0.054458, 0.128702, 0.578328, 
19, 52.631579, 1.000000, 7.783900, 0.473172, 0.322812, 0.054202, 0.129572, 0.585132, 
20, 50.000000, 1.000000, 8.191600, 0.490402, 0.322236, 0.055936, 0.134901, 0.577283, 
21, 47.619048, 1.000000, 8.604700, 0.466719, 0.323459, 0.054423, 0.129618, 0.577744, 
22, 45.454545, 1.000000, 9.007900, 0.455338, 0.325344, 0.052545, 0.129466, 0.575973, 
23, 43.478261, 1.000000, 9.421100, 0.432593, 0.320491, 0.052680, 0.130438, 0.574294, 
24, 41.666667, 1.000000, 9.829700, 0.418940, 0.320442, 0.051117, 0.129717, 0.576213, 
25, 40.000000, 1.000000, 10.237900, 0.409197, 0.325963, 0.053986, 0.130060, 0.573691, 
26, 38.461538, 1.000000, 10.640400, 0.393754, 0.320786, 0.055010, 0.133422, 0.573184, 
27, 37.037037, 1.000000, 11.048200, 0.384037, 0.323259, 0.052914, 0.132925, 0.571268, 
28, 35.714286, 1.000000, 11.456000, 0.375954, 0.319424, 0.052619, 0.132322, 0.572803, 
29, 34.482759, 1.000000, 11.863800, 0.356221, 0.320283, 0.054146, 0.130292, 0.573106, 
30, 33.333333, 1.000000, 12.276500, 0.347298, 0.319269, 0.054381, 0.134279, 0.573989, 
31, 32.258065, 1.000000, 12.684800, 0.335979, 0.320054, 0.055132, 0.132604, 0.571352, 
32, 31.250000, 1.000000, 13.093000, 0.330432, 0.320675, 0.050901, 0.133140, 0.568078, 
33, 30.303030, 1.000000, 13.497200, 0.323364, 0.319549, 0.053172, 0.129446, 0.572199, 
34, 29.411765, 1.000000, 13.903800, 0.312705, 0.319015, 0.051872, 0.136429, 0.570956, 
35, 28.571429, 1.000000, 14.317400, 0.305095, 0.318500, 0.050891, 0.132779, 0.568978, 
36, 27.777778, 1.000000, 14.725400, 0.294792, 0.321217, 0.053383, 0.131062, 0.569757, 
37, 27.027027, 1.000000, 15.128300, 0.288206, 0.319821, 0.049716, 0.130362, 0.571559, 
38, 26.315789, 1.000000, 15.536600, 0.278476, 0.319843, 0.050921, 0.135626, 0.571753, 
39, 25.641026, 1.000000, 15.949100, 0.277415, 0.318459, 0.051533, 0.131472, 0.570629, 
40, 25.000000, 1.000000, 16.353800, 0.271647, 0.318409, 0.051251, 0.128497, 0.570122, 
41, 24.390244, 1.000000, 16.761000, 0.268917, 0.321533, 0.055709, 0.131147, 0.569583, 
42, 23.809524, 1.000000, 17.168200, 0.266898, 0.316531, 0.051579, 0.132110, 0.573094, 
