frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
12, 83.333333, 1.000000, 0.654500, 0.558674, 0.331137, 0.050218, 0.145039, 0.610433, 
13, 76.923077, 1.000000, 0.706800, 0.527771, 0.328202, 0.048124, 0.144763, 0.605396, 
14, 71.428571, 1.000000, 0.759300, 0.498972, 0.326131, 0.052674, 0.149856, 0.603695, 
15, 66.666667, 1.000000, 0.807800, 0.472343, 0.325210, 0.050139, 0.141521, 0.603872, 
16, 62.500000, 1.000000, 0.860300, 0.446721, 0.324810, 0.055346, 0.144686, 0.596401, 
17, 58.823529, 1.000000, 0.912100, 0.426367, 0.329139, 0.050600, 0.144875, 0.596269, 
18, 55.555556, 1.000000, 0.968400, 0.403017, 0.328455, 0.047652, 0.146780, 0.593051, 
19, 52.631579, 1.000000, 1.019400, 0.386221, 0.326635, 0.047628, 0.144830, 0.585502, 
20, 50.000000, 1.000000, 1.072000, 0.373238, 0.327940, 0.050660, 0.142861, 0.589725, 
21, 47.619048, 1.000000, 1.124400, 0.359133, 0.324089, 0.049223, 0.144061, 0.585564, 
22, 45.454545, 1.000000, 1.176700, 0.346118, 0.326486, 0.048462, 0.141403, 0.587431, 
23, 43.478261, 1.000000, 1.228800, 0.335886, 0.323124, 0.048831, 0.140059, 0.584345, 
24, 41.666667, 1.000000, 1.280500, 0.327748, 0.325138, 0.050181, 0.145267, 0.588536, 
25, 40.000000, 1.000000, 1.328200, 0.316056, 0.323079, 0.050516, 0.138323, 0.587275, 
26, 38.461538, 1.000000, 1.381000, 0.304696, 0.322802, 0.047135, 0.141699, 0.580230, 
27, 37.037037, 1.000000, 1.437400, 0.293591, 0.324098, 0.048369, 0.140706, 0.580640, 
28, 35.714286, 1.000000, 1.485100, 0.286708, 0.319971, 0.048879, 0.141423, 0.579282, 
29, 34.482759, 1.000000, 1.537200, 0.280988, 0.321834, 0.047222, 0.145476, 0.582292, 
30, 33.333333, 1.000000, 1.589300, 0.275437, 0.321193, 0.046468, 0.140987, 0.581154, 
31, 32.258065, 1.000000, 1.644700, 0.268087, 0.321741, 0.051365, 0.143818, 0.579692, 
32, 31.250000, 1.000000, 1.693400, 0.260242, 0.323357, 0.049733, 0.143205, 0.575677, 
33, 30.303030, 1.000000, 1.746000, 0.254661, 0.320816, 0.044792, 0.140052, 0.580882, 
34, 29.411765, 1.000000, 1.804400, 0.247949, 0.320585, 0.042134, 0.141432, 0.575998, 
35, 28.571429, 1.000000, 1.857200, 0.242716, 0.322667, 0.049858, 0.142446, 0.575970, 
36, 27.777778, 1.000000, 1.902700, 0.238566, 0.319560, 0.047790, 0.140147, 0.577092, 
37, 27.027027, 1.000000, 1.954000, 0.237006, 0.320284, 0.048297, 0.141191, 0.574650, 
38, 26.315789, 1.000000, 2.009700, 0.230845, 0.320305, 0.048933, 0.138502, 0.574342, 
39, 25.641026, 1.000000, 2.059600, 0.228665, 0.318847, 0.049328, 0.139164, 0.579396, 
40, 25.000000, 1.000000, 2.115700, 0.225335, 0.315961, 0.049086, 0.140939, 0.576546, 
41, 24.390244, 1.000000, 2.168300, 0.219079, 0.316948, 0.049361, 0.141046, 0.576401, 
42, 23.809524, 1.000000, 2.216100, 0.215315, 0.318899, 0.049082, 0.136896, 0.574146, 
