frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
5, 200.000000, 1.000000, 5.678300, 0.155145, 0.328709, 0.048415, 0.162279, 0.741711, 
6, 166.666667, 1.000000, 6.460700, 0.145144, 0.328431, 0.047116, 0.159675, 0.711383, 
7, 142.857143, 1.000000, 7.499000, 0.136825, 0.329815, 0.046539, 0.160980, 0.678948, 
8, 125.000000, 1.000000, 8.493200, 0.128485, 0.328118, 0.049979, 0.159014, 0.662163, 
9, 111.111111, 1.000000, 9.611400, 0.120662, 0.322586, 0.045498, 0.153547, 0.646882, 
10, 100.000000, 1.000000, 10.614500, 0.117881, 0.320356, 0.049796, 0.153325, 0.630982, 
11, 90.909091, 1.000000, 11.582900, 0.108157, 0.322491, 0.047488, 0.147769, 0.619005, 
12, 83.333333, 1.000000, 12.730300, 0.105232, 0.320214, 0.047408, 0.151754, 0.610445, 
13, 76.923077, 1.000000, 13.700800, 0.098669, 0.324932, 0.048887, 0.147983, 0.601474, 
14, 71.428571, 1.000000, 14.733000, 0.095641, 0.318840, 0.051027, 0.147882, 0.595693, 
15, 66.666667, 1.000000, 15.782000, 0.094181, 0.323455, 0.047564, 0.149743, 0.587272, 
16, 62.500000, 1.000000, 16.824100, 0.088428, 0.319647, 0.046120, 0.145724, 0.585133, 
17, 58.823529, 1.000000, 17.873800, 0.088586, 0.316564, 0.049530, 0.147622, 0.577661, 
18, 55.555556, 1.000000, 18.922400, 0.088170, 0.314850, 0.048674, 0.148474, 0.572181, 
19, 52.631579, 1.000000, 19.977900, 0.085075, 0.317220, 0.049746, 0.145832, 0.568478, 
20, 50.000000, 1.000000, 21.021900, 0.082658, 0.317845, 0.045390, 0.144262, 0.564738, 
21, 47.619048, 1.000000, 22.076700, 0.082024, 0.315826, 0.048017, 0.140522, 0.560812, 
22, 45.454545, 1.000000, 23.126000, 0.080397, 0.317041, 0.047474, 0.145520, 0.557855, 
23, 43.478261, 1.000000, 24.169900, 0.081584, 0.318846, 0.050883, 0.147147, 0.556853, 
24, 41.666667, 1.000000, 25.218700, 0.079417, 0.316027, 0.048452, 0.144556, 0.553533, 
25, 40.000000, 1.000000, 26.268300, 0.075566, 0.316913, 0.051190, 0.142804, 0.550906, 
26, 38.461538, 1.000000, 27.323300, 0.074802, 0.318310, 0.047268, 0.143860, 0.548299, 
27, 37.037037, 1.000000, 28.373100, 0.074903, 0.313827, 0.051692, 0.142505, 0.548943, 
28, 35.714286, 1.000000, 29.421900, 0.073253, 0.317544, 0.047183, 0.140115, 0.548278, 
29, 34.482759, 1.000000, 30.465400, 0.072482, 0.314742, 0.049697, 0.148068, 0.546363, 
30, 33.333333, 1.000000, 31.515300, 0.073751, 0.318800, 0.050935, 0.145904, 0.545023, 
31, 32.258065, 1.000000, 32.570800, 0.071710, 0.315346, 0.049859, 0.144845, 0.542243, 
