frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
7, 142.857143, 1.000000, 11.240200, 0.394725, 0.389018, 0.051041, 0.213794, 1.362499, 
8, 125.000000, 1.000000, 12.841500, 0.357422, 0.382539, 0.048896, 0.203466, 1.263899, 
9, 111.111111, 1.000000, 14.436300, 0.321007, 0.371905, 0.051793, 0.198932, 1.189569, 
10, 100.000000, 1.000000, 16.037200, 0.302713, 0.371059, 0.052617, 0.198138, 1.132998, 
11, 90.909091, 1.000000, 17.642700, 0.278790, 0.362811, 0.052929, 0.188811, 1.068580, 
12, 83.333333, 1.000000, 19.238000, 0.259058, 0.357804, 0.053402, 0.181997, 1.023378, 
13, 76.923077, 1.000000, 20.838900, 0.240844, 0.357021, 0.048918, 0.181108, 0.984629, 
14, 71.428571, 1.000000, 22.438600, 0.226332, 0.349905, 0.050756, 0.177679, 0.951847, 
15, 66.666667, 1.000000, 24.045200, 0.216599, 0.354040, 0.048124, 0.177474, 0.922479, 
16, 62.500000, 1.000000, 25.640500, 0.207685, 0.346957, 0.052055, 0.176105, 0.901337, 
17, 58.823529, 1.000000, 27.246200, 0.203137, 0.345859, 0.052223, 0.173188, 0.883446, 
18, 55.555556, 1.000000, 28.840300, 0.194271, 0.339482, 0.051177, 0.165411, 0.858968, 
19, 52.631579, 1.000000, 30.441200, 0.185235, 0.339176, 0.053213, 0.168367, 0.842922, 
20, 50.000000, 1.000000, 32.047600, 0.175860, 0.339758, 0.051660, 0.166811, 0.821314, 
21, 47.619048, 1.000000, 33.641900, 0.170439, 0.338447, 0.050251, 0.166015, 0.809710, 
22, 45.454545, 1.000000, 35.243600, 0.165022, 0.335544, 0.051053, 0.163997, 0.798918, 
23, 43.478261, 1.000000, 36.842200, 0.159279, 0.333678, 0.051697, 0.165890, 0.783915, 
24, 41.666667, 1.000000, 38.449600, 0.155060, 0.336307, 0.050547, 0.158390, 0.774102, 
25, 40.000000, 1.000000, 40.042800, 0.151048, 0.333689, 0.049530, 0.161238, 0.766880, 
26, 38.461538, 1.000000, 41.643700, 0.149677, 0.333804, 0.049679, 0.160661, 0.755992, 
27, 37.037037, 1.000000, 43.250300, 0.147145, 0.332094, 0.052196, 0.159357, 0.748520, 
28, 35.714286, 1.000000, 44.849500, 0.143647, 0.329076, 0.050332, 0.159134, 0.738836, 
29, 34.482759, 1.000000, 46.444700, 0.140996, 0.333253, 0.047779, 0.158225, 0.733886, 
30, 33.333333, 1.000000, 48.044800, 0.140668, 0.327365, 0.048485, 0.159289, 0.723070, 
31, 32.258065, 1.000000, 49.646100, 0.137674, 0.328311, 0.051715, 0.158976, 0.714967, 
32, 31.250000, 1.000000, 51.252600, 0.137608, 0.329360, 0.049502, 0.157297, 0.711123, 
33, 30.303030, 1.000000, 52.846800, 0.134650, 0.327504, 0.049098, 0.160369, 0.706424, 
34, 29.411765, 1.000000, 54.446200, 0.133544, 0.326350, 0.049806, 0.155406, 0.700215, 
35, 28.571429, 1.000000, 56.053200, 0.131546, 0.324246, 0.049646, 0.159458, 0.693001, 
36, 27.777778, 1.000000, 57.654200, 0.130216, 0.326525, 0.052492, 0.154609, 0.683552, 
37, 27.027027, 1.000000, 59.249000, 0.128369, 0.321979, 0.051740, 0.157691, 0.681369, 
38, 26.315789, 1.000000, 60.853600, 0.126842, 0.326922, 0.048069, 0.155303, 0.678174, 
39, 25.641026, 1.000000, 62.448300, 0.124941, 0.323096, 0.049321, 0.157065, 0.675939, 
40, 25.000000, 1.000000, 64.049800, 0.123160, 0.324966, 0.051470, 0.155177, 0.671143, 
41, 24.390244, 1.000000, 65.648700, 0.123428, 0.324005, 0.051128, 0.154269, 0.668331, 
42, 23.809524, 1.000000, 67.256600, 0.118548, 0.326153, 0.048801, 0.154991, 0.666640, 
43, 23.255814, 1.000000, 68.851100, 0.118547, 0.322822, 0.052323, 0.154802, 0.665844, 
44, 22.727273, 1.000000, 70.451900, 0.116473, 0.322311, 0.051297, 0.153838, 0.658437, 
45, 22.222222, 1.000000, 72.051000, 0.115766, 0.323370, 0.052061, 0.150579, 0.655116, 
46, 21.739130, 1.000000, 73.660300, 0.113984, 0.324483, 0.050619, 0.150914, 0.654734, 
47, 21.276596, 1.000000, 75.251900, 0.113906, 0.323533, 0.048132, 0.152039, 0.650887, 
48, 20.833333, 1.000000, 76.858700, 0.111769, 0.323536, 0.049808, 0.150992, 0.651967, 
49, 20.408163, 1.000000, 78.451900, 0.109932, 0.323038, 0.050453, 0.153343, 0.649621, 
7, 142.857143, 0.990000, 11.235800, 0.386466, 0.386786, 0.051770, 0.216011, 1.362939, 
8, 125.000000, 0.990000, 12.841100, 0.348332, 0.381968, 0.051335, 0.206522, 1.267409, 
9, 111.111111, 0.990000, 14.441600, 0.314721, 0.373350, 0.051800, 0.201615, 1.193049, 
10, 100.000000, 0.990000, 16.037500, 0.294472, 0.370150, 0.051058, 0.198473, 1.133212, 
11, 90.909091, 0.990000, 17.637500, 0.272427, 0.364529, 0.049893, 0.192713, 1.069576, 
12, 83.333333, 0.990000, 19.244000, 0.252137, 0.360016, 0.052385, 0.189316, 1.023950, 
13, 76.923077, 0.990000, 20.839600, 0.234115, 0.357280, 0.049931, 0.182386, 0.988165, 
14, 71.428571, 0.990000, 22.442600, 0.221147, 0.352162, 0.050787, 0.183480, 0.952058, 
15, 66.666667, 0.990000, 24.045800, 0.209844, 0.348840, 0.049752, 0.180640, 0.918397, 
16, 62.500000, 0.990000, 25.640200, 0.204706, 0.348017, 0.050696, 0.176554, 0.901473, 
17, 58.823529, 0.990000, 27.241200, 0.195133, 0.343964, 0.051695, 0.169900, 0.883221, 
18, 55.555556, 0.990000, 28.845400, 0.188604, 0.343666, 0.050307, 0.169611, 0.860954, 
19, 52.631579, 0.990000, 30.441200, 0.182771, 0.339511, 0.048687, 0.169082, 0.841612, 
20, 50.000000, 0.990000, 32.048700, 0.172804, 0.340085, 0.049824, 0.169669, 0.824483, 
21, 47.619048, 0.990000, 33.646600, 0.164295, 0.337209, 0.052662, 0.167052, 0.812315, 
22, 45.454545, 0.990000, 35.247900, 0.157724, 0.336037, 0.046180, 0.163932, 0.802307, 
23, 43.478261, 0.990000, 36.844600, 0.154575, 0.335642, 0.050424, 0.167493, 0.785581, 
24, 41.666667, 0.990000, 38.443000, 0.151160, 0.332193, 0.049859, 0.162470, 0.774215, 
25, 40.000000, 0.990000, 40.047200, 0.147933, 0.336757, 0.050913, 0.165903, 0.770092, 
26, 38.461538, 0.990000, 41.644600, 0.143868, 0.331122, 0.050992, 0.165757, 0.758515, 
27, 37.037037, 0.990000, 43.244400, 0.143335, 0.330514, 0.050314, 0.161314, 0.746268, 
28, 35.714286, 0.990000, 44.850500, 0.140411, 0.329426, 0.049371, 0.160118, 0.737740, 
29, 34.482759, 0.990000, 46.451400, 0.137898, 0.329381, 0.049752, 0.158121, 0.731836, 
30, 33.333333, 0.990000, 48.047900, 0.137777, 0.329613, 0.051574, 0.162441, 0.722862, 
31, 32.258065, 0.990000, 49.647000, 0.134797, 0.326655, 0.049072, 0.158631, 0.717378, 
32, 31.250000, 0.990000, 51.244900, 0.134624, 0.325393, 0.051405, 0.157249, 0.710189, 
33, 30.303030, 0.990000, 52.851600, 0.131605, 0.329099, 0.050830, 0.159203, 0.705044, 
34, 29.411765, 0.990000, 54.447300, 0.128861, 0.327715, 0.046959, 0.156253, 0.701637, 
35, 28.571429, 0.990000, 56.054200, 0.127438, 0.326577, 0.046921, 0.156599, 0.697904, 
36, 27.777778, 0.990000, 57.653100, 0.127134, 0.326639, 0.049577, 0.155818, 0.686183, 
37, 27.027027, 0.990000, 59.253600, 0.126027, 0.326105, 0.049440, 0.154203, 0.678346, 
38, 26.315789, 0.990000, 60.849100, 0.123167, 0.327327, 0.048949, 0.158099, 0.679416, 
39, 25.641026, 0.990000, 62.450300, 0.122764, 0.324929, 0.050164, 0.155005, 0.676430, 
40, 25.000000, 0.990000, 64.049300, 0.119322, 0.323780, 0.048791, 0.153772, 0.671966, 
41, 24.390244, 0.990000, 65.649900, 0.119445, 0.324873, 0.049284, 0.153662, 0.667022, 
42, 23.809524, 0.990000, 67.250800, 0.117262, 0.324390, 0.048211, 0.155752, 0.664169, 
43, 23.255814, 0.990000, 68.850600, 0.116944, 0.323301, 0.049105, 0.156494, 0.664448, 
