frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
8, 125.000000, 1.000000, 135.651300, 0.616087, 0.322909, 0.048590, 0.123075, 0.585354, 
9, 111.111111, 1.000000, 152.588000, 0.558056, 0.321710, 0.047263, 0.124373, 0.583049, 
10, 100.000000, 1.000000, 169.512700, 0.505910, 0.321101, 0.049559, 0.126065, 0.583337, 
11, 90.909091, 1.000000, 186.449400, 0.463790, 0.319500, 0.047806, 0.125740, 0.579701, 
12, 83.333333, 1.000000, 203.392900, 0.433798, 0.323079, 0.047337, 0.123889, 0.580602, 
13, 76.923077, 1.000000, 220.315000, 0.407463, 0.317907, 0.047836, 0.122794, 0.578332, 
14, 71.428571, 1.000000, 237.274800, 0.385043, 0.317508, 0.046824, 0.126356, 0.580649, 
15, 66.666667, 1.000000, 254.194200, 0.358045, 0.319252, 0.047872, 0.124769, 0.580095, 
16, 62.500000, 1.000000, 271.123500, 0.336856, 0.318522, 0.048920, 0.124602, 0.581000, 
17, 58.823529, 1.000000, 288.064800, 0.320880, 0.318598, 0.048379, 0.123384, 0.579194, 
18, 55.555556, 1.000000, 304.999400, 0.309316, 0.315907, 0.048230, 0.124358, 0.580155, 
19, 52.631579, 1.000000, 321.937900, 0.296693, 0.314546, 0.048747, 0.125312, 0.578890, 
20, 50.000000, 1.000000, 338.866800, 0.285202, 0.317778, 0.044253, 0.123547, 0.579673, 
21, 47.619048, 1.000000, 355.798500, 0.273389, 0.315538, 0.051142, 0.127211, 0.579422, 
22, 45.454545, 1.000000, 372.735500, 0.264240, 0.314436, 0.048815, 0.125952, 0.578476, 
23, 43.478261, 1.000000, 389.668400, 0.255374, 0.316335, 0.048736, 0.125256, 0.576938, 
24, 41.666667, 1.000000, 406.611800, 0.249252, 0.312943, 0.045692, 0.126835, 0.579011, 
25, 40.000000, 1.000000, 423.534000, 0.242778, 0.313878, 0.050487, 0.125976, 0.578682, 
26, 38.461538, 1.000000, 440.476100, 0.237414, 0.313099, 0.045393, 0.125139, 0.578982, 
27, 37.037037, 1.000000, 457.405800, 0.230438, 0.315280, 0.049067, 0.124091, 0.578406, 
28, 35.714286, 1.000000, 474.344800, 0.221645, 0.313558, 0.047806, 0.124602, 0.578272, 
29, 34.482759, 1.000000, 491.279800, 0.213465, 0.314639, 0.048334, 0.124830, 0.579001, 
30, 33.333333, 1.000000, 508.222700, 0.207187, 0.316394, 0.044412, 0.125453, 0.578678, 
31, 32.258065, 1.000000, 525.149100, 0.204101, 0.314891, 0.046852, 0.126851, 0.575931, 
32, 31.250000, 1.000000, 542.086300, 0.199050, 0.315452, 0.046564, 0.124492, 0.578765, 
33, 30.303030, 1.000000, 559.012500, 0.194060, 0.315676, 0.049450, 0.127811, 0.578159, 
34, 29.411765, 1.000000, 575.953800, 0.188630, 0.313648, 0.049245, 0.128036, 0.577467, 
35, 28.571429, 1.000000, 592.886700, 0.183583, 0.313118, 0.048705, 0.123614, 0.578182, 
36, 27.777778, 1.000000, 609.822900, 0.179454, 0.312417, 0.050173, 0.123183, 0.575912, 
37, 27.027027, 1.000000, 626.757600, 0.176331, 0.311772, 0.050351, 0.126233, 0.576992, 
38, 26.315789, 1.000000, 643.697100, 0.172931, 0.312119, 0.046295, 0.123629, 0.578787, 
39, 25.641026, 1.000000, 660.635300, 0.168615, 0.313087, 0.045491, 0.127242, 0.577787, 
40, 25.000000, 1.000000, 677.570900, 0.162535, 0.313356, 0.050178, 0.122544, 0.577747, 
41, 24.390244, 1.000000, 694.502200, 0.161717, 0.315897, 0.050274, 0.122630, 0.579711, 
42, 23.809524, 1.000000, 711.429400, 0.157537, 0.314285, 0.048861, 0.123218, 0.578088, 
