frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
6, 166.666667, 1.000000, 7.047100, 0.513642, 0.400673, 0.048688, 0.218132, 1.305741, 
7, 142.857143, 1.000000, 7.631000, 0.458636, 0.398622, 0.051941, 0.210365, 1.216521, 
8, 125.000000, 1.000000, 8.624800, 0.410636, 0.387880, 0.051006, 0.204999, 1.147265, 
9, 111.111111, 1.000000, 9.650900, 0.372971, 0.379372, 0.050423, 0.196303, 1.087327, 
10, 100.000000, 1.000000, 10.663600, 0.341397, 0.374500, 0.046053, 0.194860, 1.029122, 
11, 90.909091, 1.000000, 11.689400, 0.314854, 0.368521, 0.052001, 0.191282, 0.999262, 
12, 83.333333, 1.000000, 12.732800, 0.300915, 0.364396, 0.052240, 0.180664, 0.967759, 
13, 76.923077, 1.000000, 13.758200, 0.280818, 0.357122, 0.050293, 0.179457, 0.923764, 
14, 71.428571, 1.000000, 14.769200, 0.262429, 0.356926, 0.051540, 0.181639, 0.915659, 
15, 66.666667, 1.000000, 15.801400, 0.247441, 0.356902, 0.050926, 0.178804, 0.899885, 
16, 62.500000, 1.000000, 16.852000, 0.234302, 0.350706, 0.054425, 0.179569, 0.883020, 
17, 58.823529, 1.000000, 17.884700, 0.224658, 0.351006, 0.054983, 0.171792, 0.867393, 
18, 55.555556, 1.000000, 18.922300, 0.214752, 0.348829, 0.050016, 0.175048, 0.846021, 
19, 52.631579, 1.000000, 19.969700, 0.207774, 0.344964, 0.051126, 0.173075, 0.824028, 
20, 50.000000, 1.000000, 21.013700, 0.202806, 0.343302, 0.056502, 0.176669, 0.808414, 
21, 47.619048, 1.000000, 22.058900, 0.196929, 0.342017, 0.050189, 0.169153, 0.793218, 
22, 45.454545, 1.000000, 23.107700, 0.188882, 0.339043, 0.052321, 0.165850, 0.779235, 
23, 43.478261, 1.000000, 24.148000, 0.185740, 0.337812, 0.053025, 0.168893, 0.774716, 
24, 41.666667, 1.000000, 25.195000, 0.177363, 0.335557, 0.048527, 0.168413, 0.761695, 
25, 40.000000, 1.000000, 26.241300, 0.170375, 0.333924, 0.050803, 0.165616, 0.752277, 
26, 38.461538, 1.000000, 27.294800, 0.163909, 0.336496, 0.049955, 0.165914, 0.745236, 
27, 37.037037, 1.000000, 28.341500, 0.157850, 0.336397, 0.048973, 0.167710, 0.735988, 
28, 35.714286, 1.000000, 29.374100, 0.154056, 0.334927, 0.050216, 0.166820, 0.728845, 
29, 34.482759, 1.000000, 30.427100, 0.153450, 0.331148, 0.048496, 0.161368, 0.713759, 
30, 33.333333, 1.000000, 31.471600, 0.149545, 0.333681, 0.051477, 0.158096, 0.710872, 
31, 32.258065, 1.000000, 32.518300, 0.147058, 0.328837, 0.053785, 0.159222, 0.705656, 
32, 31.250000, 1.000000, 33.566600, 0.146047, 0.334023, 0.051673, 0.162031, 0.700392, 
33, 30.303030, 1.000000, 34.610200, 0.144336, 0.331787, 0.047578, 0.162610, 0.694102, 
34, 29.411765, 1.000000, 35.656700, 0.141320, 0.325961, 0.051978, 0.159026, 0.686160, 
35, 28.571429, 1.000000, 36.692400, 0.140662, 0.328219, 0.052504, 0.158171, 0.682827, 
36, 27.777778, 1.000000, 37.740900, 0.138565, 0.327287, 0.045201, 0.158859, 0.680412, 
37, 27.027027, 1.000000, 38.833300, 0.136566, 0.326300, 0.054356, 0.159225, 0.660675, 
38, 26.315789, 1.000000, 39.835200, 0.136434, 0.327049, 0.050504, 0.163533, 0.666520, 
39, 25.641026, 1.000000, 40.883800, 0.136313, 0.328799, 0.050270, 0.157713, 0.658698, 
40, 25.000000, 1.000000, 41.942600, 0.133049, 0.328024, 0.049427, 0.154974, 0.655025, 
