frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
8, 125.000000, 1.000000, 23.667300, 0.815278, 0.320363, 0.046103, 0.138822, 0.583214, 
9, 111.111111, 1.000000, 26.619400, 0.732150, 0.321471, 0.046192, 0.135763, 0.583417, 
10, 100.000000, 1.000000, 29.574800, 0.670063, 0.319829, 0.049386, 0.138312, 0.579592, 
11, 90.909091, 1.000000, 32.524900, 0.616065, 0.322557, 0.049198, 0.136569, 0.578942, 
12, 83.333333, 1.000000, 35.482300, 0.563701, 0.321023, 0.044864, 0.140363, 0.578121, 
13, 76.923077, 1.000000, 38.435000, 0.531605, 0.320262, 0.048887, 0.139181, 0.581565, 
14, 71.428571, 1.000000, 41.389300, 0.493184, 0.318892, 0.050902, 0.138280, 0.577621, 
15, 66.666667, 1.000000, 44.343200, 0.464555, 0.318678, 0.046211, 0.138580, 0.579189, 
16, 62.500000, 1.000000, 47.296500, 0.447153, 0.318997, 0.045993, 0.138500, 0.578727, 
17, 58.823529, 1.000000, 50.246700, 0.418102, 0.317032, 0.049501, 0.139476, 0.580335, 
18, 55.555556, 1.000000, 53.203800, 0.394464, 0.319771, 0.044938, 0.138442, 0.581481, 
19, 52.631579, 1.000000, 56.152600, 0.379670, 0.318311, 0.046474, 0.140187, 0.578235, 
20, 50.000000, 1.000000, 59.111100, 0.366762, 0.317677, 0.047501, 0.140413, 0.580757, 
21, 47.619048, 1.000000, 62.059400, 0.350159, 0.318531, 0.048939, 0.137652, 0.582564, 
22, 45.454545, 1.000000, 65.011900, 0.334402, 0.317217, 0.045797, 0.136972, 0.581822, 
23, 43.478261, 1.000000, 67.965500, 0.322824, 0.318600, 0.047823, 0.138611, 0.581598, 
24, 41.666667, 1.000000, 70.920400, 0.310525, 0.315766, 0.045676, 0.138668, 0.579867, 
25, 40.000000, 1.000000, 73.878700, 0.305289, 0.316908, 0.045166, 0.138394, 0.579785, 
26, 38.461538, 1.000000, 76.831000, 0.299999, 0.317910, 0.042912, 0.141382, 0.579719, 
27, 37.037037, 1.000000, 79.784300, 0.289560, 0.315910, 0.044908, 0.139273, 0.579605, 
28, 35.714286, 1.000000, 82.739800, 0.280123, 0.316980, 0.047652, 0.138876, 0.578488, 
29, 34.482759, 1.000000, 85.690100, 0.273219, 0.315922, 0.046527, 0.139323, 0.579433, 
30, 33.333333, 1.000000, 88.641000, 0.259589, 0.313962, 0.046404, 0.137661, 0.581328, 
31, 32.258065, 1.000000, 91.592400, 0.252617, 0.314857, 0.047223, 0.139019, 0.581394, 
32, 31.250000, 1.000000, 94.547200, 0.246468, 0.312996, 0.044077, 0.138643, 0.580870, 
33, 30.303030, 1.000000, 97.499700, 0.238518, 0.314834, 0.043787, 0.140923, 0.580730, 
34, 29.411765, 1.000000, 100.459600, 0.233218, 0.316212, 0.045744, 0.135811, 0.579972, 
35, 28.571429, 1.000000, 103.409800, 0.226461, 0.312952, 0.047657, 0.139283, 0.580961, 
36, 27.777778, 1.000000, 106.365900, 0.223913, 0.315102, 0.047564, 0.139721, 0.582087, 
37, 27.027027, 1.000000, 109.320100, 0.219267, 0.312755, 0.046175, 0.136183, 0.579405, 
38, 26.315789, 1.000000, 112.274400, 0.217411, 0.315869, 0.047272, 0.136471, 0.582067, 
39, 25.641026, 1.000000, 115.222300, 0.211669, 0.314237, 0.049251, 0.138130, 0.580964, 
40, 25.000000, 1.000000, 118.175100, 0.209922, 0.313640, 0.045342, 0.138349, 0.582369, 
41, 24.390244, 1.000000, 121.128900, 0.206283, 0.313281, 0.044394, 0.141304, 0.581936, 
42, 23.809524, 1.000000, 124.088000, 0.201813, 0.313978, 0.047749, 0.139751, 0.582041, 
43, 23.255814, 1.000000, 127.036400, 0.198153, 0.313362, 0.047328, 0.135541, 0.581592, 
44, 22.727273, 1.000000, 129.994800, 0.194609, 0.311673, 0.045850, 0.136187, 0.580090, 
45, 22.222222, 1.000000, 132.950100, 0.190106, 0.313924, 0.048433, 0.137540, 0.583647, 
46, 21.739130, 1.000000, 135.900600, 0.186001, 0.312168, 0.048697, 0.135109, 0.582445, 
47, 21.276596, 1.000000, 138.849900, 0.180482, 0.310937, 0.047694, 0.135877, 0.584048, 
48, 20.833333, 1.000000, 141.810500, 0.180352, 0.311649, 0.044491, 0.139148, 0.581983, 
49, 20.408163, 1.000000, 144.763500, 0.177058, 0.314319, 0.047632, 0.135771, 0.583262, 
8, 125.000000, 0.990000, 23.663600, 0.796557, 0.322008, 0.049162, 0.138561, 0.582403, 
9, 111.111111, 0.990000, 26.622400, 0.717371, 0.324985, 0.049589, 0.137249, 0.581565, 
10, 100.000000, 0.990000, 29.575100, 0.654121, 0.320275, 0.047132, 0.140155, 0.583324, 
11, 90.909091, 0.990000, 32.527700, 0.603768, 0.322949, 0.047236, 0.137986, 0.582192, 
12, 83.333333, 0.990000, 35.476800, 0.551923, 0.319784, 0.047419, 0.137818, 0.581574, 
13, 76.923077, 0.990000, 38.430600, 0.521416, 0.319253, 0.048094, 0.139729, 0.583315, 
14, 71.428571, 0.990000, 41.384000, 0.479990, 0.320485, 0.047488, 0.138572, 0.581583, 
15, 66.666667, 0.990000, 44.343000, 0.454683, 0.321196, 0.045915, 0.138874, 0.580412, 
16, 62.500000, 0.990000, 47.291200, 0.437108, 0.318823, 0.049464, 0.138057, 0.581452, 
17, 58.823529, 0.990000, 50.250900, 0.408718, 0.316273, 0.045530, 0.139669, 0.580356, 
18, 55.555556, 0.990000, 53.204000, 0.386041, 0.318699, 0.049562, 0.139041, 0.580863, 
19, 52.631579, 0.990000, 56.157900, 0.372981, 0.317940, 0.046784, 0.139398, 0.581668, 
20, 50.000000, 0.990000, 59.111400, 0.359977, 0.317200, 0.044496, 0.138729, 0.583581, 
21, 47.619048, 0.990000, 62.059400, 0.340639, 0.317403, 0.045708, 0.138942, 0.580967, 
22, 45.454545, 0.990000, 65.018800, 0.325951, 0.317913, 0.048508, 0.136882, 0.583485, 
23, 43.478261, 0.990000, 67.972100, 0.317067, 0.317533, 0.048203, 0.138350, 0.580655, 
24, 41.666667, 0.990000, 70.918600, 0.306325, 0.315708, 0.046567, 0.139621, 0.579034, 
25, 40.000000, 0.990000, 73.877800, 0.301230, 0.316405, 0.046600, 0.140196, 0.580658, 
26, 38.461538, 0.990000, 76.825800, 0.293654, 0.314184, 0.047733, 0.136092, 0.583573, 
27, 37.037037, 0.990000, 79.785500, 0.281607, 0.317241, 0.049361, 0.140843, 0.581877, 
28, 35.714286, 0.990000, 82.734500, 0.272397, 0.315658, 0.046517, 0.134847, 0.581622, 
29, 34.482759, 0.990000, 85.692500, 0.264185, 0.316091, 0.044172, 0.138738, 0.582175, 
30, 33.333333, 0.990000, 88.645600, 0.255196, 0.316209, 0.046219, 0.135737, 0.579689, 
31, 32.258065, 0.990000, 91.598200, 0.246902, 0.315861, 0.046231, 0.138229, 0.581118, 
32, 31.250000, 0.990000, 94.559900, 0.240074, 0.314814, 0.047277, 0.138454, 0.583231, 
33, 30.303030, 0.990000, 97.506300, 0.231364, 0.314638, 0.046698, 0.138169, 0.581457, 
34, 29.411765, 0.990000, 100.459300, 0.226478, 0.315825, 0.045101, 0.136937, 0.583319, 
35, 28.571429, 0.990000, 103.409300, 0.223835, 0.313222, 0.044672, 0.138214, 0.582089, 
36, 27.777778, 0.990000, 106.366300, 0.217752, 0.315224, 0.046068, 0.137504, 0.583636, 
37, 27.027027, 0.990000, 109.320100, 0.216870, 0.315589, 0.047727, 0.136431, 0.581672, 
38, 26.315789, 0.990000, 112.268500, 0.210718, 0.311808, 0.044720, 0.136710, 0.582541, 
39, 25.641026, 0.990000, 115.227200, 0.209355, 0.314372, 0.045297, 0.140668, 0.579552, 
40, 25.000000, 0.990000, 118.180200, 0.204434, 0.312723, 0.046586, 0.137767, 0.580332, 
41, 24.390244, 0.990000, 121.134200, 0.199915, 0.314361, 0.045296, 0.140418, 0.581426, 
42, 23.809524, 0.990000, 124.088600, 0.198315, 0.314460, 0.046478, 0.137347, 0.581389, 
43, 23.255814, 0.990000, 127.038100, 0.193738, 0.312873, 0.044847, 0.136932, 0.580459, 
44, 22.727273, 0.990000, 129.995600, 0.190102, 0.315632, 0.045818, 0.137418, 0.582837, 
45, 22.222222, 0.990000, 132.943900, 0.186431, 0.312903, 0.046129, 0.136453, 0.580713, 
46, 21.739130, 0.990000, 135.902000, 0.184878, 0.314068, 0.047342, 0.137944, 0.579958, 
47, 21.276596, 0.990000, 138.856000, 0.178382, 0.312893, 0.045831, 0.138273, 0.580229, 
48, 20.833333, 0.990000, 141.810700, 0.174986, 0.313807, 0.047176, 0.137540, 0.581389, 
49, 20.408163, 0.990000, 144.757600, 0.174123, 0.309594, 0.045119, 0.135967, 0.579212, 
8, 125.000000, 0.980000, 23.663500, 0.774452, 0.323323, 0.046670, 0.136311, 0.582499, 
9, 111.111111, 0.980000, 26.621300, 0.698356, 0.322115, 0.049104, 0.140509, 0.582428, 
10, 100.000000, 0.980000, 29.571300, 0.636309, 0.322574, 0.048404, 0.139193, 0.581266, 
11, 90.909091, 0.980000, 32.529300, 0.588230, 0.320282, 0.046202, 0.139839, 0.581181, 
12, 83.333333, 0.980000, 35.477400, 0.537357, 0.318667, 0.050738, 0.139754, 0.579795, 
