frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
7, 142.857143, 1.000000, 11.240100, 0.568728, 0.383804, 0.052676, 0.209392, 1.356692, 
8, 125.000000, 1.000000, 12.841600, 0.507182, 0.378952, 0.049263, 0.204248, 1.265591, 
9, 111.111111, 1.000000, 14.443100, 0.460592, 0.373519, 0.053016, 0.195644, 1.173407, 
10, 100.000000, 1.000000, 16.042000, 0.420873, 0.367940, 0.050707, 0.194687, 1.133555, 
11, 90.909091, 1.000000, 17.642500, 0.384536, 0.363296, 0.052779, 0.185759, 1.057258, 
12, 83.333333, 1.000000, 19.242900, 0.361180, 0.355539, 0.053117, 0.180701, 1.008035, 
13, 76.923077, 1.000000, 20.843500, 0.337030, 0.353561, 0.052373, 0.177462, 0.969826, 
14, 71.428571, 1.000000, 22.444500, 0.315612, 0.351876, 0.051886, 0.174692, 0.936238, 
15, 66.666667, 1.000000, 24.040300, 0.304446, 0.349606, 0.050813, 0.174411, 0.912023, 
16, 62.500000, 1.000000, 25.645400, 0.290270, 0.346238, 0.050096, 0.165040, 0.891106, 
17, 58.823529, 1.000000, 27.241600, 0.274397, 0.340931, 0.049411, 0.169527, 0.863785, 
18, 55.555556, 1.000000, 28.847100, 0.262056, 0.343446, 0.048308, 0.168525, 0.849580, 
19, 52.631579, 1.000000, 30.446500, 0.249381, 0.340320, 0.048716, 0.166374, 0.825045, 
20, 50.000000, 1.000000, 32.046700, 0.236668, 0.339830, 0.048235, 0.169161, 0.814446, 
21, 47.619048, 1.000000, 33.649300, 0.229393, 0.336237, 0.049089, 0.163263, 0.796489, 
22, 45.454545, 1.000000, 35.243600, 0.219415, 0.335245, 0.047349, 0.166230, 0.787383, 
23, 43.478261, 1.000000, 36.842400, 0.213565, 0.333533, 0.049238, 0.158957, 0.769571, 
24, 41.666667, 1.000000, 38.448400, 0.209171, 0.332785, 0.048329, 0.157230, 0.759284, 
25, 40.000000, 1.000000, 40.042100, 0.204967, 0.333456, 0.050324, 0.162705, 0.757374, 
26, 38.461538, 1.000000, 41.643000, 0.200902, 0.330906, 0.047953, 0.159125, 0.744071, 
27, 37.037037, 1.000000, 43.249500, 0.195435, 0.332109, 0.050194, 0.152622, 0.732124, 
28, 35.714286, 1.000000, 44.849200, 0.188767, 0.329969, 0.051227, 0.156719, 0.723464, 
