frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
6, 166.666667, 1.000000, 27.455100, 0.442742, 0.407705, 0.052432, 0.191924, 1.470339, 
7, 142.857143, 1.000000, 27.618000, 0.412363, 0.403084, 0.049332, 0.196295, 1.468988, 
8, 125.000000, 1.000000, 27.717400, 0.387314, 0.402618, 0.049888, 0.194082, 1.469441, 
9, 111.111111, 1.000000, 28.254500, 0.374223, 0.399320, 0.050899, 0.189760, 1.460256, 
10, 100.000000, 1.000000, 28.823900, 0.354238, 0.397871, 0.050852, 0.189983, 1.451241, 
11, 90.909091, 1.000000, 29.593500, 0.340301, 0.394700, 0.051776, 0.193897, 1.438072, 
12, 83.333333, 1.000000, 30.637000, 0.324707, 0.394317, 0.050788, 0.196730, 1.419184, 
13, 76.923077, 1.000000, 31.586100, 0.313148, 0.393818, 0.052208, 0.194906, 1.408174, 
14, 71.428571, 1.000000, 32.391400, 0.302809, 0.390558, 0.053013, 0.191397, 1.403756, 
15, 66.666667, 1.000000, 32.887100, 0.298480, 0.389385, 0.050986, 0.186305, 1.401059, 
16, 62.500000, 1.000000, 34.755900, 0.282572, 0.385646, 0.046693, 0.190620, 1.367374, 
17, 58.823529, 1.000000, 36.668900, 0.270278, 0.385343, 0.052958, 0.186579, 1.333820, 
18, 55.555556, 1.000000, 38.567900, 0.258832, 0.376072, 0.053369, 0.189797, 1.299118, 
19, 52.631579, 1.000000, 40.444400, 0.246020, 0.379176, 0.049311, 0.179209, 1.274061, 
20, 50.000000, 1.000000, 42.459600, 0.235407, 0.369844, 0.047335, 0.185161, 1.243291, 
21, 47.619048, 1.000000, 44.389100, 0.225001, 0.370231, 0.053322, 0.182528, 1.211120, 
22, 45.454545, 1.000000, 46.426600, 0.220087, 0.364851, 0.050377, 0.178243, 1.189399, 
23, 43.478261, 1.000000, 48.585300, 0.215195, 0.365068, 0.053102, 0.176863, 1.152809, 
24, 41.666667, 1.000000, 50.712700, 0.208452, 0.363846, 0.046648, 0.177299, 1.128197, 
25, 40.000000, 1.000000, 53.130500, 0.205085, 0.360941, 0.051002, 0.178015, 1.113259, 
26, 38.461538, 1.000000, 56.515200, 0.197417, 0.358280, 0.049477, 0.178611, 1.083201, 
27, 37.037037, 1.000000, 58.757400, 0.194241, 0.352820, 0.050434, 0.175428, 1.060332, 
28, 35.714286, 1.000000, 61.770700, 0.190861, 0.354462, 0.052138, 0.172546, 1.043207, 
29, 34.482759, 1.000000, 64.340800, 0.185052, 0.352970, 0.050820, 0.172566, 1.031334, 
30, 33.333333, 1.000000, 65.754500, 0.181201, 0.350185, 0.051131, 0.171623, 1.018398, 
31, 32.258065, 1.000000, 69.124300, 0.175175, 0.349674, 0.051440, 0.167903, 1.006018, 
32, 31.250000, 1.000000, 71.353000, 0.168112, 0.350935, 0.047677, 0.168713, 0.995111, 
33, 30.303030, 1.000000, 73.583000, 0.169195, 0.348637, 0.052397, 0.164091, 0.978747, 
34, 29.411765, 1.000000, 75.810000, 0.163653, 0.347099, 0.049597, 0.170911, 0.964916, 
35, 28.571429, 1.000000, 78.038100, 0.159719, 0.345479, 0.051725, 0.167875, 0.950847, 
36, 27.777778, 1.000000, 80.269300, 0.159637, 0.347468, 0.049590, 0.168013, 0.936460, 
37, 27.027027, 1.000000, 82.494600, 0.155968, 0.340574, 0.046680, 0.164456, 0.926046, 
38, 26.315789, 1.000000, 84.726400, 0.152631, 0.339591, 0.051556, 0.163353, 0.916576, 
39, 25.641026, 1.000000, 86.952400, 0.149770, 0.341691, 0.048790, 0.165831, 0.904659, 
40, 25.000000, 1.000000, 89.181800, 0.147415, 0.338379, 0.050644, 0.161397, 0.891736, 
41, 24.390244, 1.000000, 91.409600, 0.148168, 0.339072, 0.047802, 0.163637, 0.886743, 
42, 23.809524, 1.000000, 93.639700, 0.141978, 0.335608, 0.047855, 0.157187, 0.883125, 
43, 23.255814, 1.000000, 95.866900, 0.145428, 0.337182, 0.047884, 0.163127, 0.874204, 
44, 22.727273, 1.000000, 98.097700, 0.141967, 0.340297, 0.046975, 0.160941, 0.863268, 
45, 22.222222, 1.000000, 100.324000, 0.140080, 0.336049, 0.050640, 0.162188, 0.854362, 
46, 21.739130, 1.000000, 102.551500, 0.140109, 0.333442, 0.049063, 0.163857, 0.849083, 
47, 21.276596, 1.000000, 104.781200, 0.139052, 0.335338, 0.045332, 0.158311, 0.842271, 
48, 20.833333, 1.000000, 107.010100, 0.138491, 0.336614, 0.047321, 0.157919, 0.835766, 
49, 20.408163, 1.000000, 109.232100, 0.136490, 0.333123, 0.049439, 0.158978, 0.829583, 
6, 166.666667, 0.990000, 27.441200, 0.436912, 0.404052, 0.050963, 0.195161, 1.468702, 
7, 142.857143, 0.990000, 27.621500, 0.404765, 0.406784, 0.052863, 0.187920, 1.468143, 
8, 125.000000, 0.990000, 27.712000, 0.383019, 0.402547, 0.055269, 0.197374, 1.465520, 
9, 111.111111, 0.990000, 28.268700, 0.365158, 0.405398, 0.048240, 0.195240, 1.462707, 
10, 100.000000, 0.990000, 28.834400, 0.349716, 0.399103, 0.049942, 0.187179, 1.450179, 
11, 90.909091, 0.990000, 29.590400, 0.332305, 0.397512, 0.050309, 0.191331, 1.439645, 
12, 83.333333, 0.990000, 30.625300, 0.316529, 0.396231, 0.051275, 0.190286, 1.422153, 
13, 76.923077, 0.990000, 31.582300, 0.307619, 0.393472, 0.050163, 0.191313, 1.408363, 
14, 71.428571, 0.990000, 32.371100, 0.297192, 0.393345, 0.049966, 0.189549, 1.404063, 
15, 66.666667, 0.990000, 32.916900, 0.292010, 0.389034, 0.051123, 0.190356, 1.398212, 
16, 62.500000, 0.990000, 34.732900, 0.278215, 0.387141, 0.047506, 0.190476, 1.364500, 
17, 58.823529, 0.990000, 36.690800, 0.263840, 0.381650, 0.044595, 0.187242, 1.334464, 
18, 55.555556, 0.990000, 38.575500, 0.251175, 0.377888, 0.044943, 0.184647, 1.303146, 
19, 52.631579, 0.990000, 40.428100, 0.241398, 0.374788, 0.050475, 0.187821, 1.276326, 
20, 50.000000, 0.990000, 42.329800, 0.230152, 0.371967, 0.046121, 0.185527, 1.246776, 
21, 47.619048, 0.990000, 44.349200, 0.222696, 0.373212, 0.049398, 0.181633, 1.213194, 
22, 45.454545, 0.990000, 46.411500, 0.216160, 0.368105, 0.050038, 0.174135, 1.188240, 
23, 43.478261, 0.990000, 48.590700, 0.209164, 0.364282, 0.048242, 0.181442, 1.154652, 
24, 41.666667, 0.990000, 50.842000, 0.202409, 0.364585, 0.050301, 0.175793, 1.132413, 
25, 40.000000, 0.990000, 53.155200, 0.201008, 0.362225, 0.048014, 0.172189, 1.118841, 
26, 38.461538, 0.990000, 56.198900, 0.193395, 0.359989, 0.048677, 0.174903, 1.083656, 
27, 37.037037, 0.990000, 59.370400, 0.187585, 0.355188, 0.048055, 0.173700, 1.064469, 
28, 35.714286, 0.990000, 61.836600, 0.186123, 0.353877, 0.048505, 0.166874, 1.039966, 
29, 34.482759, 0.990000, 64.350600, 0.179953, 0.350689, 0.046670, 0.168063, 1.027790, 
30, 33.333333, 0.990000, 66.522300, 0.175292, 0.347825, 0.050889, 0.169308, 1.017834, 
31, 32.258065, 0.990000, 69.125900, 0.171851, 0.350091, 0.050392, 0.171452, 1.007532, 
32, 31.250000, 0.990000, 71.352200, 0.167466, 0.350024, 0.048735, 0.170944, 0.993803, 
33, 30.303030, 0.990000, 73.581800, 0.162769, 0.348933, 0.048147, 0.165836, 0.978066, 
34, 29.411765, 0.990000, 75.811000, 0.159612, 0.342036, 0.049092, 0.167662, 0.962566, 
35, 28.571429, 0.990000, 78.038500, 0.155144, 0.345271, 0.044356, 0.165459, 0.951076, 
36, 27.777778, 0.990000, 80.267300, 0.151862, 0.345743, 0.050118, 0.163036, 0.936829, 
37, 27.027027, 0.990000, 82.494700, 0.151068, 0.342271, 0.053121, 0.163740, 0.924317, 
38, 26.315789, 0.990000, 84.725200, 0.150048, 0.337430, 0.045966, 0.162587, 0.913489, 
39, 25.641026, 0.990000, 86.951600, 0.149959, 0.343300, 0.052668, 0.162845, 0.905805, 
40, 25.000000, 0.990000, 89.182600, 0.143188, 0.340801, 0.047519, 0.162689, 0.896627, 
41, 24.390244, 0.990000, 91.409800, 0.142886, 0.335598, 0.048174, 0.166172, 0.889572, 
42, 23.809524, 0.990000, 93.638600, 0.141767, 0.342643, 0.049824, 0.158598, 0.887317, 
