frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
10, 100.000000, 1.000000, 18.710100, 0.556500, 0.346831, 0.044851, 0.136571, 0.855739, 
11, 90.909091, 1.000000, 20.560300, 0.514858, 0.345171, 0.048066, 0.141506, 0.832663, 
12, 83.333333, 1.000000, 22.427100, 0.471813, 0.345833, 0.049009, 0.138909, 0.817253, 
13, 76.923077, 1.000000, 24.289100, 0.443801, 0.341331, 0.046777, 0.138722, 0.790791, 
14, 71.428571, 1.000000, 26.143000, 0.419616, 0.340343, 0.047371, 0.133426, 0.773458, 
15, 66.666667, 1.000000, 28.011300, 0.390490, 0.339262, 0.047303, 0.137326, 0.767454, 
16, 62.500000, 1.000000, 29.865300, 0.372742, 0.332608, 0.049697, 0.136096, 0.750816, 
17, 58.823529, 1.000000, 31.734600, 0.357143, 0.336269, 0.047346, 0.136265, 0.737396, 
18, 55.555556, 1.000000, 33.589600, 0.338466, 0.337550, 0.050346, 0.133955, 0.725132, 
19, 52.631579, 1.000000, 35.454000, 0.323538, 0.335445, 0.047143, 0.131508, 0.722290, 
20, 50.000000, 1.000000, 37.317500, 0.310258, 0.327373, 0.044131, 0.138654, 0.710808, 
21, 47.619048, 1.000000, 39.180000, 0.300951, 0.330588, 0.050245, 0.132343, 0.710006, 
22, 45.454545, 1.000000, 41.033600, 0.286662, 0.327613, 0.050358, 0.128708, 0.701980, 
23, 43.478261, 1.000000, 42.904000, 0.278635, 0.329169, 0.047485, 0.130270, 0.690316, 
24, 41.666667, 1.000000, 44.762600, 0.269092, 0.324708, 0.047877, 0.129939, 0.684988, 
25, 40.000000, 1.000000, 46.625500, 0.259232, 0.328854, 0.046887, 0.133667, 0.680741, 
26, 38.461538, 1.000000, 48.485300, 0.252266, 0.325804, 0.050766, 0.127120, 0.681265, 
27, 37.037037, 1.000000, 50.342500, 0.245301, 0.326519, 0.047550, 0.130637, 0.674249, 
28, 35.714286, 1.000000, 52.207800, 0.240563, 0.325989, 0.046915, 0.128423, 0.673606, 
29, 34.482759, 1.000000, 54.071000, 0.231145, 0.326059, 0.044492, 0.128638, 0.668716, 
30, 33.333333, 1.000000, 55.929100, 0.228908, 0.322779, 0.046694, 0.128181, 0.661770, 
31, 32.258065, 1.000000, 57.789600, 0.224229, 0.322136, 0.045542, 0.136150, 0.659520, 
32, 31.250000, 1.000000, 59.657900, 0.216529, 0.322205, 0.046998, 0.126455, 0.657960, 
33, 30.303030, 1.000000, 61.521500, 0.210084, 0.323568, 0.045159, 0.128359, 0.647275, 
34, 29.411765, 1.000000, 63.382000, 0.206683, 0.319543, 0.051223, 0.133554, 0.651072, 
35, 28.571429, 1.000000, 65.241500, 0.202893, 0.319857, 0.045404, 0.127019, 0.646313, 
36, 27.777778, 1.000000, 67.100500, 0.195902, 0.319547, 0.049878, 0.129517, 0.649090, 
37, 27.027027, 1.000000, 68.964000, 0.190779, 0.322685, 0.047158, 0.126058, 0.638732, 
38, 26.315789, 1.000000, 70.820900, 0.187843, 0.317177, 0.048560, 0.128567, 0.633612, 
39, 25.641026, 1.000000, 72.682900, 0.183432, 0.323060, 0.047396, 0.125993, 0.635067, 
40, 25.000000, 1.000000, 74.550700, 0.185416, 0.316253, 0.048199, 0.131122, 0.630946, 
41, 24.390244, 1.000000, 76.428200, 0.180965, 0.318488, 0.047690, 0.129161, 0.631976, 
42, 23.809524, 1.000000, 78.268800, 0.177533, 0.321905, 0.046384, 0.130991, 0.637995, 
43, 23.255814, 1.000000, 80.135900, 0.171425, 0.320371, 0.045920, 0.129782, 0.623919, 
44, 22.727273, 1.000000, 81.994800, 0.168721, 0.318318, 0.046362, 0.130537, 0.628460, 
45, 22.222222, 1.000000, 83.855800, 0.165856, 0.317871, 0.044886, 0.127311, 0.626658, 
46, 21.739130, 1.000000, 85.720300, 0.166556, 0.318827, 0.046114, 0.132743, 0.625455, 
47, 21.276596, 1.000000, 87.576900, 0.164316, 0.317982, 0.051629, 0.126093, 0.621130, 
48, 20.833333, 1.000000, 89.444100, 0.160918, 0.318563, 0.047759, 0.123028, 0.622696, 
49, 20.408163, 1.000000, 91.306900, 0.157044, 0.316214, 0.046831, 0.127000, 0.626294, 
10, 100.000000, 0.990000, 18.710400, 0.545211, 0.349615, 0.050160, 0.141609, 0.847849, 
11, 90.909091, 0.990000, 20.566000, 0.504276, 0.348105, 0.047142, 0.139115, 0.823897, 
12, 83.333333, 0.990000, 22.428500, 0.466775, 0.345206, 0.047633, 0.138269, 0.814766, 
13, 76.923077, 0.990000, 24.282500, 0.433727, 0.339113, 0.048136, 0.136680, 0.792513, 
14, 71.428571, 0.990000, 26.149900, 0.411512, 0.339247, 0.049397, 0.137985, 0.779876, 
15, 66.666667, 0.990000, 28.010600, 0.384838, 0.340978, 0.050421, 0.137875, 0.759404, 
16, 62.500000, 0.990000, 29.871400, 0.369418, 0.335740, 0.046288, 0.133656, 0.749377, 
17, 58.823529, 0.990000, 31.734000, 0.351401, 0.335350, 0.045053, 0.136865, 0.745268, 
18, 55.555556, 0.990000, 33.594500, 0.330414, 0.333179, 0.050138, 0.137348, 0.730140, 
19, 52.631579, 0.990000, 35.454700, 0.314001, 0.331896, 0.051721, 0.134572, 0.721939, 
20, 50.000000, 0.990000, 37.311500, 0.304158, 0.334947, 0.048761, 0.132690, 0.718946, 
21, 47.619048, 0.990000, 39.180000, 0.284393, 0.328721, 0.047194, 0.137468, 0.712787, 
22, 45.454545, 0.990000, 41.040500, 0.283870, 0.330551, 0.049499, 0.130216, 0.704582, 
23, 43.478261, 0.990000, 42.910100, 0.275220, 0.330682, 0.047737, 0.131110, 0.698906, 
24, 41.666667, 0.990000, 44.764400, 0.265127, 0.328042, 0.054399, 0.131163, 0.692398, 
25, 40.000000, 0.990000, 46.620300, 0.260714, 0.325825, 0.044971, 0.131685, 0.678812, 
26, 38.461538, 0.990000, 48.492300, 0.246022, 0.330463, 0.049109, 0.132953, 0.684239, 
27, 37.037037, 0.990000, 50.349100, 0.241226, 0.327094, 0.047617, 0.133691, 0.674541, 
28, 35.714286, 0.990000, 52.201800, 0.234980, 0.323653, 0.045115, 0.125412, 0.671866, 
29, 34.482759, 0.990000, 54.069500, 0.227604, 0.327803, 0.047552, 0.130642, 0.669614, 
30, 33.333333, 0.990000, 55.933200, 0.222504, 0.325371, 0.045554, 0.128461, 0.668225, 
