frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
10, 100.000000, 0.980000, 1.587700, 0.193948, 0.346511, 0.045717, 0.165957, 0.873242, 
11, 90.909091, 0.980000, 1.739000, 0.180618, 0.345576, 0.046021, 0.164965, 0.840422, 
12, 83.333333, 0.980000, 1.891700, 0.166598, 0.344316, 0.046959, 0.161778, 0.818114, 
13, 76.923077, 0.980000, 2.049400, 0.159249, 0.341141, 0.046601, 0.161230, 0.788627, 
14, 71.428571, 0.980000, 2.202800, 0.151193, 0.340071, 0.046588, 0.157581, 0.766988, 
15, 66.666667, 0.980000, 2.367300, 0.145978, 0.336078, 0.045227, 0.156639, 0.747355, 
16, 62.500000, 0.980000, 2.515400, 0.143488, 0.332120, 0.050973, 0.157867, 0.737393, 
17, 58.823529, 0.980000, 2.667900, 0.137914, 0.332803, 0.046291, 0.155301, 0.725092, 
18, 55.555556, 0.980000, 2.822300, 0.136398, 0.331818, 0.048205, 0.153825, 0.711001, 
19, 52.631579, 0.980000, 2.988000, 0.131030, 0.331880, 0.049039, 0.150303, 0.700360, 
20, 50.000000, 0.980000, 3.134100, 0.128681, 0.329017, 0.047985, 0.152632, 0.691129, 
21, 47.619048, 0.980000, 3.298100, 0.124780, 0.327416, 0.046719, 0.155140, 0.681041, 
22, 45.454545, 0.980000, 3.454000, 0.121650, 0.327777, 0.047657, 0.150854, 0.672079, 
23, 43.478261, 0.980000, 3.599300, 0.118660, 0.327077, 0.047346, 0.148079, 0.665765, 
24, 41.666667, 0.980000, 3.769300, 0.116286, 0.323441, 0.047035, 0.150222, 0.656128, 
25, 40.000000, 0.980000, 3.913300, 0.113717, 0.326536, 0.048311, 0.146701, 0.654086, 
26, 38.461538, 0.980000, 4.065300, 0.112732, 0.325884, 0.044095, 0.147368, 0.649474, 
27, 37.037037, 0.980000, 4.221600, 0.109887, 0.324283, 0.046771, 0.147063, 0.645272, 
28, 35.714286, 0.980000, 4.373200, 0.106132, 0.323640, 0.046714, 0.148116, 0.640314, 
29, 34.482759, 0.980000, 4.535400, 0.104315, 0.322742, 0.047941, 0.145958, 0.634849, 
30, 33.333333, 0.980000, 4.700100, 0.105136, 0.329822, 0.046317, 0.149875, 0.638371, 
31, 32.258065, 0.980000, 4.848000, 0.099929, 0.347730, 0.045231, 0.148868, 0.648135, 
32, 31.250000, 0.980000, 4.997400, 0.097903, 0.322943, 0.043838, 0.146561, 0.622037, 
33, 30.303030, 0.980000, 5.153900, 0.097313, 0.322211, 0.045280, 0.144286, 0.619271, 
34, 29.411765, 0.980000, 5.317400, 0.096570, 0.322297, 0.049992, 0.142701, 0.616404, 
35, 28.571429, 0.980000, 5.468200, 0.095172, 0.322249, 0.043909, 0.144994, 0.611024, 
36, 27.777778, 0.980000, 5.628100, 0.092624, 0.319681, 0.043352, 0.146528, 0.609679, 
37, 27.027027, 0.980000, 5.781700, 0.091719, 0.319814, 0.047643, 0.143088, 0.607744, 
38, 26.315789, 0.980000, 5.934900, 0.091916, 0.321253, 0.045813, 0.142748, 0.604188, 
39, 25.641026, 0.980000, 6.078900, 0.089701, 0.319357, 0.045066, 0.142581, 0.601406, 
10, 100.000000, 0.970000, 1.587500, 0.189701, 0.350001, 0.043627, 0.163958, 0.870993, 
11, 90.909091, 0.970000, 1.746400, 0.174490, 0.344199, 0.046607, 0.169587, 0.837598, 
12, 83.333333, 0.970000, 1.896900, 0.164301, 0.343279, 0.043804, 0.163210, 0.813305, 
13, 76.923077, 0.970000, 2.054700, 0.152774, 0.339739, 0.045874, 0.161506, 0.787589, 
14, 71.428571, 0.970000, 2.212900, 0.148382, 0.336797, 0.049070, 0.157226, 0.766889, 
15, 66.666667, 0.970000, 2.356800, 0.144704, 0.337819, 0.046255, 0.156167, 0.752652, 
16, 62.500000, 0.970000, 2.513600, 0.142026, 0.333468, 0.045650, 0.154998, 0.737207, 
17, 58.823529, 0.970000, 2.678900, 0.135873, 0.332087, 0.046534, 0.153421, 0.724214, 
18, 55.555556, 0.970000, 2.826300, 0.131982, 0.331215, 0.043844, 0.153428, 0.707658, 
19, 52.631579, 0.970000, 2.983700, 0.129021, 0.330148, 0.045000, 0.153824, 0.701539, 
20, 50.000000, 0.970000, 3.140200, 0.124241, 0.328433, 0.049800, 0.151075, 0.689826, 
21, 47.619048, 0.970000, 3.294800, 0.119902, 0.331085, 0.046648, 0.149828, 0.683346, 
22, 45.454545, 0.970000, 3.447800, 0.117601, 0.327218, 0.045819, 0.149261, 0.671978, 
23, 43.478261, 0.970000, 3.612400, 0.114394, 0.325902, 0.049551, 0.149699, 0.666889, 
24, 41.666667, 0.970000, 3.760000, 0.112033, 0.324969, 0.048508, 0.147013, 0.661538, 
25, 40.000000, 0.970000, 3.918000, 0.108649, 0.325809, 0.047395, 0.149798, 0.655644, 
26, 38.461538, 0.970000, 4.065000, 0.107553, 0.326566, 0.048068, 0.148164, 0.647688, 
27, 37.037037, 0.970000, 4.227100, 0.103975, 0.324021, 0.044620, 0.148768, 0.644755, 
28, 35.714286, 0.970000, 4.378900, 0.103967, 0.325306, 0.050016, 0.152051, 0.639419, 
29, 34.482759, 0.970000, 4.533900, 0.102222, 0.325470, 0.047330, 0.146462, 0.636651, 
30, 33.333333, 0.970000, 4.694300, 0.100272, 0.322439, 0.048687, 0.145413, 0.632914, 
31, 32.258065, 0.970000, 4.848700, 0.097180, 0.322615, 0.047221, 0.147463, 0.625256, 
32, 31.250000, 0.970000, 4.986200, 0.097837, 0.324185, 0.045441, 0.144493, 0.622412, 
33, 30.303030, 0.970000, 5.162900, 0.093764, 0.320881, 0.045368, 0.145338, 0.618414, 
34, 29.411765, 0.970000, 5.320000, 0.092682, 0.320005, 0.045200, 0.144328, 0.615168, 
35, 28.571429, 0.970000, 5.471200, 0.093164, 0.322025, 0.046167, 0.147935, 0.613484, 
36, 27.777778, 0.970000, 5.630800, 0.091072, 0.320998, 0.046679, 0.144012, 0.609501, 
37, 27.027027, 0.970000, 5.781200, 0.089254, 0.321597, 0.047305, 0.144202, 0.606625, 
38, 26.315789, 0.970000, 5.924400, 0.089533, 0.320769, 0.047010, 0.145915, 0.603906, 
39, 25.641026, 0.970000, 6.083800, 0.088470, 0.321206, 0.048169, 0.146582, 0.603821, 
10, 100.000000, 0.960000, 1.582600, 0.184175, 0.350182, 0.047232, 0.167476, 0.872701, 
11, 90.909091, 0.960000, 1.740300, 0.168453, 0.345028, 0.045864, 0.162490, 0.839633, 
12, 83.333333, 0.960000, 1.898900, 0.157794, 0.342897, 0.046157, 0.163804, 0.812316, 
13, 76.923077, 0.960000, 2.055500, 0.152244, 0.341485, 0.047287, 0.160527, 0.787317, 
14, 71.428571, 0.960000, 2.208900, 0.145489, 0.334613, 0.046083, 0.161430, 0.768871, 
15, 66.666667, 0.960000, 2.366300, 0.140731, 0.335477, 0.045979, 0.155404, 0.752559, 
16, 62.500000, 0.960000, 2.517600, 0.137433, 0.335807, 0.045909, 0.156531, 0.737679, 
17, 58.823529, 0.960000, 2.669900, 0.134528, 0.330079, 0.048202, 0.153585, 0.724951, 
18, 55.555556, 0.960000, 2.836800, 0.130017, 0.332191, 0.046721, 0.153802, 0.712802, 
19, 52.631579, 0.960000, 2.982100, 0.124581, 0.331937, 0.044372, 0.149805, 0.702346, 
20, 50.000000, 0.960000, 3.135300, 0.121657, 0.330517, 0.046596, 0.150284, 0.692505, 
21, 47.619048, 0.960000, 3.299100, 0.118562, 0.324570, 0.050339, 0.149778, 0.678635, 
