frqFct ,frqMhz, VCCINT ,exe time ,intPower ,pintPower ,auxPower ,pauxPower ,1v5Power
6, 166.666667, 1.000000, 5.635081, 0.200821, 0.398649, 0.051455, 0.195623, 1.392552, 
7, 142.857143, 1.000000, 5.739991, 0.189246, 0.396796, 0.051909, 0.197766, 1.387647, 
8, 125.000000, 1.000000, 5.442419, 0.189350, 0.400012, 0.050347, 0.202132, 1.429718, 
9, 111.111111, 1.000000, 6.024695, 0.169210, 0.391536, 0.053264, 0.197611, 1.353029, 
10, 100.000000, 1.000000, 6.632050, 0.156796, 0.381673, 0.053108, 0.194507, 1.275981, 
11, 90.909091, 1.000000, 7.274611, 0.150654, 0.378054, 0.049160, 0.191219, 1.230863, 
12, 83.333333, 1.000000, 7.910587, 0.145988, 0.376285, 0.051919, 0.190372, 1.180610, 
13, 76.923077, 1.000000, 8.562948, 0.140974, 0.372154, 0.051814, 0.187002, 1.143616, 
14, 71.428571, 1.000000, 9.224300, 0.137527, 0.364549, 0.049974, 0.184721, 1.126459, 
15, 66.666667, 1.000000, 9.878906, 0.131488, 0.364252, 0.048974, 0.181346, 1.109033, 
16, 62.500000, 1.000000, 10.521460, 0.128409, 0.364402, 0.050602, 0.186932, 1.081734, 
17, 58.823529, 1.000000, 11.185798, 0.125172, 0.356061, 0.050324, 0.184367, 1.052719, 
18, 55.555556, 1.000000, 11.854387, 0.119844, 0.354300, 0.052865, 0.177288, 1.028475, 
19, 52.631579, 1.000000, 12.498144, 0.117439, 0.355056, 0.053741, 0.180997, 1.005318, 
20, 50.000000, 1.000000, 13.155776, 0.114084, 0.355129, 0.046789, 0.182094, 0.981558, 
21, 47.619048, 1.000000, 13.811389, 0.113701, 0.349790, 0.051140, 0.175721, 0.957954, 
22, 45.454545, 1.000000, 14.461072, 0.108506, 0.346006, 0.050912, 0.173852, 0.933967, 
23, 43.478261, 1.000000, 15.111485, 0.105390, 0.346186, 0.050731, 0.172239, 0.918232, 
