SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 1.000000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.990000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.980000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.970000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.960000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.950000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.940000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.930000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.920000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.910000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.900000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.890000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.880000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.870000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.860000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 1 , VCCINT-voltage = 0.850000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 4 , VCCINT-voltage = 1.000000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 4 , VCCINT-voltage = 0.990000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 4 , VCCINT-voltage = 0.980000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 4 , VCCINT-voltage = 0.970000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 4 , VCCINT-voltage = 0.960000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 4 , VCCINT-voltage = 0.950000 , max-frequency-factor = 10
SDEPCX = 1 , SDEPCG = 4 , VCCINT-voltage = 0.940000 , max-frequency-factor = 10
